brand,model,catalog_year,first_year_before,first_year_after,confidence_before,confidence_after,catalog_url
Arbor,Watchtower,2014,2014,2014,likely,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Westmark,2014,2007,2007,verified,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Arbor,Whiskey,2014,2014,2014,likely,verified,https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
Ride,Fleetwood,2006,2000,2000,verified,verified,https://web.archive.org/web/20060113035657id_/http://www.ridesnowboards.com/contact/catalogs/ride_05_06_usa.pdf
Ride,Kashmir,2006,2004,2004,likely,verified,https://web.archive.org/web/20060113035657id_/http://www.ridesnowboards.com/contact/catalogs/ride_05_06_usa.pdf
Ride,Lowride,2006,2000,2000,verified,verified,https://web.archive.org/web/20060113035657id_/http://www.ridesnowboards.com/contact/catalogs/ride_05_06_usa.pdf
Ride,Prophet,2006,2004,2004,likely,verified,https://web.archive.org/web/20060113035657id_/http://www.ridesnowboards.com/contact/catalogs/ride_05_06_usa.pdf
Ride,Timeless,2006,2000,2000,verified,verified,https://web.archive.org/web/20060113035657id_/http://www.ridesnowboards.com/contact/catalogs/ride_05_06_usa.pdf
Ride,Yukon,2006,2000,2000,verified,verified,https://web.archive.org/web/20060113035657id_/http://www.ridesnowboards.com/contact/catalogs/ride_05_06_usa.pdf
Ride,Agenda,2007,2023,2007,verified,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Fleetwood,2007,2000,2000,verified,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Lowride,2007,2000,2000,verified,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Prophet,2007,2004,2004,verified,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Ruckus,2007,2007,2007,likely,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Timeless,2007,2000,2000,verified,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Verona,2007,2007,2007,likely,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Yukon,2007,2000,2000,verified,verified,https://web.archive.org/web/20060823214146id_/http://www.ridesnowboards.com/catalog/ride_06_07_usa.pdf
Ride,Agenda,2009,2007,2007,verified,verified,https://web.archive.org/web/20100209092025id_/http://assets.ridesnowboards.com/ride/ftpride/support/0809_ride_catalog-en.pdf
Ride,Fleetwood,2009,2000,2000,verified,verified,https://web.archive.org/web/20100209092025id_/http://assets.ridesnowboards.com/ride/ftpride/support/0809_ride_catalog-en.pdf
Ride,Lowride,2009,2000,2000,verified,verified,https://web.archive.org/web/20100209092025id_/http://assets.ridesnowboards.com/ride/ftpride/support/0809_ride_catalog-en.pdf
Ride,Prophet,2009,2004,2004,verified,verified,https://web.archive.org/web/20100209092025id_/http://assets.ridesnowboards.com/ride/ftpride/support/0809_ride_catalog-en.pdf
Ride,Ruckus,2009,2007,2007,verified,verified,https://web.archive.org/web/20100209092025id_/http://assets.ridesnowboards.com/ride/ftpride/support/0809_ride_catalog-en.pdf
Ride,Yukon,2009,2000,2000,verified,verified,https://web.archive.org/web/20100209092025id_/http://assets.ridesnowboards.com/ride/ftpride/support/0809_ride_catalog-en.pdf
Ride,Agenda,2010,2007,2007,verified,verified,https://web.archive.org/web/20100209093446id_/http://assets.ridesnowboards.com/ride/ftpride/files/catalog/0910_ride_catalog-en.pdf
Ride,Fleetwood,2010,2000,2000,verified,verified,https://web.archive.org/web/20100209093446id_/http://assets.ridesnowboards.com/ride/ftpride/files/catalog/0910_ride_catalog-en.pdf
Ride,Lowride,2010,2000,2000,verified,verified,https://web.archive.org/web/20100209093446id_/http://assets.ridesnowboards.com/ride/ftpride/files/catalog/0910_ride_catalog-en.pdf
Ride,Prophet,2010,2004,2004,verified,verified,https://web.archive.org/web/20100209093446id_/http://assets.ridesnowboards.com/ride/ftpride/files/catalog/0910_ride_catalog-en.pdf
Ride,Ruckus,2010,2007,2007,verified,verified,https://web.archive.org/web/20100209093446id_/http://assets.ridesnowboards.com/ride/ftpride/files/catalog/0910_ride_catalog-en.pdf
Ride,Yukon,2010,2000,2000,verified,verified,https://web.archive.org/web/20100209093446id_/http://assets.ridesnowboards.com/ride/ftpride/files/catalog/0910_ride_catalog-en.pdf
