brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
K2,Alchemist,Alchemist,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Lib Tech,Legitimizer,Legitimizer,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Lib Tech,Skate Banana,Skate Banana,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Lib Tech,Mayhem Rad Ripper,Mayhem Rad Ripper,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Nidecker,Sensor Pro,Sensor Pro,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Nidecker,Sensor Team,Sensor Team,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Nidecker,Sensor W,Sensor,QUALIFIED,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,printed 'Sensor W' = catalog 'Sensor' + qualifier
Nidecker,Mellow,Mellow,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Nitro,Alternator,Alternator,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Nitro,T1,T1,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Nitro,Quiver Basher,Quiver,QUALIFIED,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,printed 'Quiver Basher' = catalog 'Quiver' + qualifier
Nitro,Optisym,Optisym,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Ride,Moderator,Moderator,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Ride,Deep Fake,Deep Fake,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Ride,Zero,Zero,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Rome,Rene-Gade,Rene-Gade,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Rome,Stale Fish,Stale Fish,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Rome,Ravine Pro,Ravine Pro,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Rome,Hype,Hype,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Salomon,Assassin,Assassin,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Salomon,Rumble Fish,Rumble Fish,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Salomon,Dancehaul Pro,Dancehaul,QUALIFIED,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,printed 'Dancehaul Pro' = catalog 'Dancehaul' + qualifier
Sims,ATV,ATV,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Sims,Fakie,Fakie,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Sims,Macrodose,Macrodose,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Sims,Bowl Squad Pro,Bowl Squad Pro,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
Slash,ATV Blank,ATV,QUALIFIED,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,printed 'ATV Blank' = catalog 'ATV' + qualifier
Slash,Thumbs Happy Place Camber,Happy Place,QUALIFIED,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,printed 'Thumbs Happy Place Camber' = catalog 'Happy Place' + qualifier
Slash,Portal,ApArtment Portal,QUALIFIED,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,printed 'Portal' = catalog 'ApArtment Portal' + qualifier
YES,Shifter,Shifter,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
YES,Rival,Rival,EXACT,verified,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,
