bucket,brand_existing,model_existing,first_year_existing,source_existing,brand_catalog,model_catalog,model_id_catalog,first_year_catalog,year_basis,confidence,sources_catalog,note,reviewer_decision
CATALOG_ONLY,,,,,Arbor,Astrowaste,arbor--astrowaste,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Blacklist,arbor--blacklist,2012,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Bryan Iguchi Pro,arbor--bryan-iguchi-pro,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Cadence,arbor--cadence,2008,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Coda,arbor--coda,2009,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Cross,arbor--cross,2003,earliest_sourced,likely,https://web.archive.org/web/200210/http://www.arborsports.com/ | https://web.archive.org/web/200311/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Crossbow,arbor--crossbow,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://web.archive.org/web/200309/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Danny Kass Park Pro,arbor--danny-kass-park-pro,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Del Rey,arbor--del-rey,2009,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Draft,arbor--draft,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200308/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Eden,arbor--eden,2009,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,El Camino,arbor--el-camino,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Element,arbor--element,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200308/http://www.arborsports.com/ | https://web.archive.org/web/200701/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Formula,arbor--formula,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200310/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Heritage,arbor--heritage,2001,earliest_sourced,verified,https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Kuro Neko,arbor--kuro-neko,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Madre,arbor--madre,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Mantra,arbor--mantra,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Metal Machine,arbor--metal-machine,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Mystic,arbor--mystic,2003,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://web.archive.org/web/200210/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Nightrain,arbor--nightrain,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Padre,arbor--padre,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Poparazzi,arbor--poparazzi,2012,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Progression,arbor--progression,2002,earliest_sourced,likely,https://web.archive.org/web/200111/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Push,arbor--push,2008,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Rain,arbor--rain,2026,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Red Gerard Pro,arbor--red-gerard-pro,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Relapse,arbor--relapse,2012,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Rooster Fish,arbor--rooster-fish,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Roundhouse,arbor--roundhouse,2008,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,S Series,arbor--s-series,2003,earliest_sourced,likely,https://web.archive.org/web/200302/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Arbor,Scion,arbor--scion,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Seedling,arbor--seedling,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Signature,arbor--signature,2001,earliest_sourced,verified,https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html,,
CATALOG_ONLY,,,,,Arbor,Sin Cara,arbor--sin-cara,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Sin Nombre,arbor--sin-nombre,2027,earliest_sourced,verified,https://www.evo.com/shop/snowboard/snowboards/arbor | https://thegoodride.com/snowboard-reviews/ | https://thegoodride.com/snowboard-reviews/?brand=jones,,
CATALOG_ONLY,,,,,Arbor,Swoon,arbor--swoon,2012,earliest_sourced,verified,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Terrapin,arbor--terrapin,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Veda,arbor--veda,2027,earliest_sourced,likely,https://www.evo.com/shop/snowboard/snowboards/arbor,,
CATALOG_ONLY,,,,,Arbor,Wasteland,arbor--wasteland,2008,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Westmark,arbor--westmark,2008,earliest_sourced,likely,https://www.snowdb.com/catalog/arbor,,
CATALOG_ONLY,,,,,Arbor,Woodie,arbor--woodie,2001,earliest_sourced,verified,https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html | https://web.archive.org/web/200610/http://www.arborsports.com/,,
CATALOG_ONLY,,,,,Atomic,Alibi,atomic--alibi,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Axum,atomic--axum,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/atomic,,
CATALOG_ONLY,,,,,Atomic,Banger,atomic--banger,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/atomic,,
CATALOG_ONLY,,,,,Atomic,Bond,atomic--bond,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Don,atomic--don,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Don Sr.,atomic--don-sr,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Fallen Angel,atomic--fallen-angel,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/atomic,,
CATALOG_ONLY,,,,,Atomic,Hatchet,atomic--hatchet,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Kumicho,atomic--kumicho,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Kung Pow,atomic--kung-pow,2004,earliest_sourced,verified,https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Mighty D,atomic--mighty-d,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Mini D,atomic--mini-d,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Mugshot,atomic--mugshot,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Pivot,atomic--pivot,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/atomic,,
CATALOG_ONLY,,,,,Atomic,Poacher,atomic--poacher,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/atomic,,
CATALOG_ONLY,,,,,Atomic,Polarity,atomic--polarity,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Radon,atomic--radon,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Rapture,atomic--rapture,2004,earliest_sourced,verified,https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Stasher,atomic--stasher,2011,earliest_sourced,likely,https://www.snowdb.com/catalog/atomic,,
CATALOG_ONLY,,,,,Atomic,Terminal,atomic--terminal,2010,earliest_sourced,likely,https://www.snowdb.com/catalog/atomic,,
CATALOG_ONLY,,,,,Atomic,Tika,atomic--tika,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Triarc,atomic--triarc,2004,earliest_sourced,verified,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Atomic,Vantage,atomic--vantage,2004,earliest_sourced,verified,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php,,
CATALOG_ONLY,,,,,Avalanche,Accel,avalanche--accel,1988,introduced,verified,https://archive.org/details/ISM-87-91 | https://retrosnow.com/shop/avalanche/avalanche-88/avalanche-accel-180/,,
CATALOG_ONLY,,,,,Avalanche,Damian,avalanche--damian,1990,introduced,verified,https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93,,
CATALOG_ONLY,,,,,Avalanche,Flex,avalanche--flex,1988,introduced,likely,https://archive.org/details/ISM-87-91,,
CATALOG_ONLY,,,,,Avalanche,Kick,avalanche--kick,1988,introduced,verified,https://archive.org/details/ISM-87-91 | https://retrosnow.com/shop/avalanche/avalanche-88/avalanche-kick-freestyle-165/ | https://retrosnow.com/shop/avalanche/90-avalanche/avalanche-kick-165/,,
CATALOG_ONLY,,,,,Avalanche,Rat,avalanche--rat,1993,introduced,likely,https://archive.org/details/tws-89-93,,
CATALOG_ONLY,,,,,Avalanche,RFX Slalom,avalanche--rfx-slalom,1985,introduced,verified,https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://archive.org/details/ISM-87-91,,
CATALOG_ONLY,,,,,Avalanche,Sport,avalanche--sport,1988,introduced,likely,https://archive.org/details/ISM-87-91,,
CATALOG_ONLY,,,,,Avalanche,Standard,avalanche--standard,2000,introduced,likely,https://www.snowboarder.com/news/board-test-board-specs,,
CATALOG_ONLY,,,,,Avalanche,X-Elles,avalanche--x-elles,2000,introduced,likely,https://www.snowboarder.com/news/board-test-board-specs,,
CATALOG_ONLY,,,,,Barfoot,161 Graphite,barfoot--161-graphite,1987,introduced,likely,https://archive.org/details/ISM-87-91,,
CATALOG_ONLY,,,,,Barfoot,Mike Estes,barfoot--mike-estes,1990,introduced,verified,https://retrosnow.com/shop/barfoot/90-barfoot/barfoot-estes-pro-model-166/ | https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93 | https://retrosnow.com/shop/barfoot/92-barfoot/barfoot-mike-estes/,,
CATALOG_ONLY,,,,,Barfoot,Team,barfoot--team,1991,introduced,verified,https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93,,
CATALOG_ONLY,,,,,Bataleon,Airobic,bataleon--airobic,2009,introduced,verified,https://bataleon.com/pages/board-archive,,
