section,brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Volkl,Dimension,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Volkl,Sleek,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Volkl,Alright,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,SK8 Banana,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,Skunk Ultra Ape,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,T-Rice Climax,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,Utility Knife,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,Hot Knife,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,Swiss Knife,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,Woodsmith Coho,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,Black Pow Speedodeeps,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lib Tech,Round Nose Fish,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Ride,Crook,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Nitro,Eero Pro Model,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,GNU,Eco Choice,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,GNU,Forest Bailey Space Case,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Rome,Sawtooth,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lobster,Halldor Helgason Pro,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lobster,Eiki Helgason Pro,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lobster,Jibb Board,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Lobster,Park Board,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Never Summer,Chairman X,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Never Summer,Twenty Five X,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Flow,Rush,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Flow,Blackout,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Flow,Whiteout,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
mens,Flow,Chill,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Nitro,Ana Rumiha,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Nitro,Silje Norendal Pro,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Volkl,Savvy,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Volkl,Breeze,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,K2,Spotlite,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,K2,Bright Lite,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Roxy,Radiance,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Bataleon,She,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Ride,Hellcat,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Ride,Rapture,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Rome,Winterland,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
womens,Rossignol,Frenemy,MODEL_NEW_CANDIDATE,yes,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,brand confirmed; model not in catalog. Sourced BT 16/17 (MY2017). Human verify.
