bucket,retrosnow_brand,our_brand,model,norm,year,our_model,our_first_year,note,url,source_tier,assign_confidence,assign_year_basis,reviewer_decision
MATCH,barfoot,Barfoot,Twin Tip Freestyle,twin tip,1987,Twin Tip,1987,,https://retrosnow.com/shop/barfoot/87/barfoot-twin-tip-freestyle/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Air,air,1989,Air,1987,,https://retrosnow.com/shop/burton/sims-89-burton/burton-air/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Air 6,air 6,1992,Air 6,1991,,https://retrosnow.com/shop/burton/libtech-92-burton/burton-air-6-1/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Asym Air,asym air,1992,Asym Air,1992,,https://retrosnow.com/shop/burton/libtech-92-burton/burton-asym-air/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Backyard,backyard,1984,Backyard,1982,,https://retrosnow.com/shop/burton/burton-84/burton-backyard/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Blacktop Twin,blacktop twin,1994,,,,https://retrosnow.com/shop/burton/burton-94/burton-blacktop-twin-153/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Brushie Trout,brushie trout,1993,,,,https://retrosnow.com/shop/burton/burton-93/burton-brushie-trout/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Craig Kelly Air,craig kelly air,1992,,,,https://retrosnow.com/shop/burton/libtech-92-burton/burton-craig-kelly-air/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Craig Kelly Pro Model,craig kelly,1994,,,,https://retrosnow.com/shop/burton/burton-94/burton-craig-kelly-pro-model/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Cruise,cruise,1989,Cruise,1989,,https://retrosnow.com/shop/burton/sims-89-burton/burton-cruise/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Cruzer 165,cruzer,1988,Cruzer,1985,,https://retrosnow.com/shop/burton/burton-88/burton-cruzer-165-2/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Cruzer,cruzer,1987,Cruzer,1985,,https://retrosnow.com/shop/burton/burton-87/burton-cruzer-165/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Elite,elite,1987,Elite,1987,,https://retrosnow.com/shop/burton/burton-87/burton-elite-140/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Elite,elite,1988,Elite,1987,,https://retrosnow.com/shop/burton/burton-88/burton-elite-150/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Free,free,1990,Free,1990,,https://retrosnow.com/shop/burton/90/burton-free-6/,"primary (museum, photographed board)",verified,earliest_sourced,
FUZZY,burton,Burton,Jeff Brushie Dj,jeff brushie dj,1994,Jeff Brushie 53,1996,"fuzzy to ""Jeff Brushie 53""",https://retrosnow.com/shop/burton/burton-94/burton-jeff-brushie-dj/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Kelly Screaming Tree,kelly screaming tree,1995,,,,https://retrosnow.com/shop/burton/libtech-95-burton/burton-kelly-screaming-tree/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Mystery Air,mystery air,1990,Mystery Air,1989,,https://retrosnow.com/shop/burton/90/burton-mystery-air/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Mystery Air,mystery air,1989,Mystery Air,1989,,https://retrosnow.com/shop/burton/sims-89-burton/burton-mystery-air-2/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Ouija Twin,ouija twin,1994,,,,https://retrosnow.com/shop/burton/burton-94/burton-ouija-twin-158/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Performer,performer,1983,Performer,1983,,https://retrosnow.com/shop/burton/burton-83/burton-performer/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Performer,performer,1985,Performer,1983,,https://retrosnow.com/shop/burton/burton-85/burton-performer-3/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Performer,performer,1984,Performer,1983,,https://retrosnow.com/shop/burton/burton-84/burton-performer-2/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Performer Elite,performer elite,1985,Performer Elite,1985,,https://retrosnow.com/shop/burton/burton-85/burton-performer-elite/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Safari Comp,safari comp,1989,Safari Comp,1989,,https://retrosnow.com/shop/burton/sims-89-burton/burton-safari-comp/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Terje Sprocking Cat,terje sprocking cat,1995,,,,https://retrosnow.com/shop/burton/libtech-95-burton/burton-terje-sprocking-cat/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,burton,Burton,Terje Sword,terje sword,1994,,,,https://retrosnow.com/shop/burton/burton-94/burton-terje-sword/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Twin,twin,1995,Twin,1994,,https://retrosnow.com/shop/burton/libtech-95-burton/burton-twin-153/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Twin,twin,1995,Twin,1994,,https://retrosnow.com/shop/burton/libtech-95-burton/burton-twin-39/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,burton,Burton,Woody,woody,1987,Woody,1986,,https://retrosnow.com/shop/burton/burton-87/burton-woody-135/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,division-23,Division 23,Peter Line,peter line,1993,Peter Line,1993,,https://retrosnow.com/shop/division-23/93-division-23/division-23-peter-line/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,gnu,GNU,Bas,bas,1995,BAS,1995,,https://retrosnow.com/shop/gnu/95-gnu/gnu-bas-153/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,gnu,GNU,Bas Girl,bas girl,1996,,,,https://retrosnow.com/shop/gnu/96/gnu-bas-girl/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,gnu,GNU,Concept,concept,1988,Concept,1988,,https://retrosnow.com/shop/gnu/88/gnu-concept/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,gnu,GNU,Dukester,dukester,1995,Dukester,1995,,https://retrosnow.com/shop/gnu/95-gnu/gnu-dukester-148/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,gnu,GNU,Kaos,kaos,1988,Kaos,1988,,https://retrosnow.com/shop/gnu/88/gnu-kaos/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,h-street,H-Street,161 Freestyle,freestyle,1991,,,,https://retrosnow.com/shop/h-street/91-h-street/h-street-161-freestyle/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,haz-mat,Haz-Mat,Terry Kidwell,terry kidwell,1994,,,,https://retrosnow.com/shop/haz-mat/94-haz-mat/haz-mat-terry-kidwell/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,hooger,Hooger Booger,Booger Blaster,booger blaster,1994,,,,https://retrosnow.com/shop/hooger/94-hooger/hooger-booger-blaster-159/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,hooger,Hooger Booger,Noah Brandon,noah brandon,1994,Noah Brandon,1994,,https://retrosnow.com/shop/hooger/94-hooger/hooger-noah-brandon/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,joyride,Joyride,Dr Suess,dr suess,1992,Dr. Suess,1992,,https://retrosnow.com/shop/joyride/libtech-92-joyride/joyride-dr-suess-148/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,joyride,Joyride,Eldorado,eldorado,1992,Eldorado,1992,,https://retrosnow.com/shop/joyride/libtech-92-joyride/joyride-eldorado/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,joyride,Joyride,Filbert Nixon,filbert nixon,1993,Filbert Nixon,1993,,https://retrosnow.com/shop/joyride/93-joyride/joyride-filbert-nixon/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,joyride,Joyride,Fuego,fuego,1993,Fuego,1993,,https://retrosnow.com/shop/joyride/93-joyride/joyride-fuego/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,joyride,Joyride,Jonny B,jonny b,1992,Jonny B,1992,,https://retrosnow.com/shop/joyride/libtech-92-joyride/joyride-jonny-b/,"primary (museum, photographed board)",verified,earliest_sourced,
FUZZY,k2,K2,Dan Donnolly Xtc,dan donnolly xtc,1988,Dan Donnelly XTC,1988,"fuzzy to ""Dan Donnelly XTC""",https://retrosnow.com/shop/k2/k2-88/k2-dan-donnolly-xtc/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,k2,K2,Eldorado,eldorado,1994,Eldorado,1994,,https://retrosnow.com/shop/k2/94-k2/k2-eldorado-169/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,k2,K2,Farmer,farmer,1993,Farmer,1993,,https://retrosnow.com/shop/k2/93-k2/k2-farmer-157/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,k2,K2,Fat Bob Adam Merriman,fat bob adam merriman,1994,,,,https://retrosnow.com/shop/k2/94-k2/k2-fat-bob-adam-merriman-155/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,k2,K2,Gyrator,gyrator,1988,Gyrator,1988,,https://retrosnow.com/shop/k2/k2-88/k2-gyrator/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,k2,K2,Juju,juju,1993,Juju,1993,,https://retrosnow.com/shop/k2/93-k2/k2-juju-158/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,k2,K2,Xtc Dan Donnelly,xtc dan donnelly,1992,,,,https://retrosnow.com/shop/k2/libtech-92-k2/k2-xtc-dan-donnelly/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,kemper,Kemper,Flight,flight,1988,Flight,1988,,https://retrosnow.com/shop/kemper/88-kemper/kemper-flight/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,kemper,Kemper,Freestyle,freestyle,1988,Freestyle,1987,,https://retrosnow.com/shop/kemper/88-kemper/kemper-freestyle-165/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lamar,Lamar,Don Szabo,don szabo,1992,,,,https://retrosnow.com/shop/lamar/92-lamar/lamar-don-szabo/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lamar,Lamar,Ranquet Castle,ranquet castle,1993,,,,https://retrosnow.com/shop/lamar/93-lamar/lamar-ranquet-castle/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,lib-tech,Lib Tech,Buddha,buddha,1996,Buddha,1996,,https://retrosnow.com/shop/lib-tech/libtech-96/lib-tech-buddha/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,lib-tech,Lib Tech,Emma Peel,emma peel,1993,Emma Peel,1992,,https://retrosnow.com/shop/lib-tech/libtech-93/lib-tech-emma-peel/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,lib-tech,Lib Tech,Grocer Shalom,grocer shalom,1995,Grocer Shalom,1995,,https://retrosnow.com/shop/lib-tech/libtech-95/lib-tech-grocer-shalom/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lib-tech,Lib Tech,Jamie Lynn Octopus,jamie lynn octopus,1994,,,,https://retrosnow.com/shop/lib-tech/libtech-94/lib-tech-jamie-lynn-octopus/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lib-tech,Lib Tech,Jamie Lynn Whale,jamie lynn whale,1995,,,,https://retrosnow.com/shop/lib-tech/libtech-95/lib-tech-jamie-lynn-whale/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,lib-tech,Lib Tech,Litigator,litigator,1992,Litigator,1992,,https://retrosnow.com/shop/lib-tech/libtech-92/lib-tech-litigator/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,lib-tech,Lib Tech,Litigator,litigator,1993,Litigator,1992,,https://retrosnow.com/shop/lib-tech/libtech-93/lib-tech-litigator-2/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,lib-tech,Lib Tech,Matt Cummins,matt cummins,1994,Matt Cummins,1992,,https://retrosnow.com/shop/lib-tech/libtech-94/lib-tech-matt-cummins/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lib-tech,Lib Tech,Matt Cummins Pool Skater,matt cummins pool skater,1995,,,,https://retrosnow.com/shop/lib-tech/libtech-95/lib-tech-matt-cummins-pool-skater/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lib-tech,Lib Tech,Mc Cat Matt Cummins,mc cat matt cummins,1993,,,,https://retrosnow.com/shop/lib-tech/libtech-93/lib-tech-mc-cat-matt-cummins/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lib-tech,Lib Tech,Mc Rad Rick,mc rad rick,1993,,,,https://retrosnow.com/shop/lib-tech/libtech-93/lib-tech-mc-rad-rick/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,lib-tech,Lib Tech,Mc Tree,mc tree,1992,,,,https://retrosnow.com/shop/lib-tech/libtech-92/lib-tech-mc-tree/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,look,Look,Lamar Freestyle,lamar,1988,Lamar Freestyle,1988,,https://retrosnow.com/shop/look/88-look/look-lamar-freestyle-170/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,look,Look,Trick Stick,trick stick,1991,Trick Stick,1988,,https://retrosnow.com/shop/look/libtech-91-look/look-trick-stick-142/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,luxury,Luxury,Grand Tricks,grand tricks,1994,,,,https://retrosnow.com/shop/luxury/94-luxury/luxury-grand-tricks/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,luxury,Luxury,Pipe,pipe,1994,,,,https://retrosnow.com/shop/luxury/94-luxury/luxury-pipe-150/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,luxury,Luxury,Shin Campos,shin campos,1995,,,,https://retrosnow.com/shop/luxury/95-luxury/luxury-shin-campos/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,mistral,Mistral,Freestyle George Pappas,freestyle george pappas,1991,,,,https://retrosnow.com/shop/mistral/91-mistral/mistral-freestyle-george-pappas/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,morrow,Morrow,Blaze,blaze,1991,Blaze,1990,,https://retrosnow.com/shop/morrow/libtech-91-morrow/morrow-blaze/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,morrow,Morrow,Free Pro,free,1993,Free Pro,1992,,https://retrosnow.com/shop/morrow/93-morrow/morrow-free-pro-60/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,morrow,Morrow,Spoon 5,spoon 5,1992,,,,https://retrosnow.com/shop/morrow/92-morrow/morrow-spoon-5-6/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,morrow,Morrow,Todd Richards,todd richards,1995,Todd Richards,1995,,https://retrosnow.com/shop/morrow/95/morrow-todd-richards-151/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,nitro,Nitro,Jeff Davis,jeff davis,1992,Jeff Davis,1992,,https://retrosnow.com/shop/nitro/92/nitro-jeff-davis/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,nitro,Nitro,Pyro,pyro,1992,Pyro,1991,,https://retrosnow.com/shop/nitro/92/nitro-pyro/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,nitro,Nitro,Pyro,pyro,1993,Pyro,1991,,https://retrosnow.com/shop/nitro/93-nitro/nitro-pyro-2/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,ride,Ride,Dale Rehberg,dale rehberg,1995,Dale Rehberg,1995,,https://retrosnow.com/shop/ride/libtech-95-ride/ride-dale-rehberg/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,ride,Ride,Jason Ford Sylvester,jason ford sylvester,1995,,,,https://retrosnow.com/shop/ride/libtech-95-ride/ride-jason-ford-sylvester/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,ride,Ride,Jason Ford Pro Model,jason ford,1995,Jason Ford,1995,,https://retrosnow.com/shop/ride/libtech-95-ride/ride-jason-ford-pro-model/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,ride,Ride,Rj,rj,1995,RJ,1994,,https://retrosnow.com/shop/ride/libtech-95-ride/ride-rj/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,santa-cruz,Santa Cruz,Chris Roach Genie,chris roach genie,1994,Chris Roach Genie,1994,,https://retrosnow.com/shop/santa-cruz/libtech-94-santa-cruz/santa-cruz-chris-roach-genie/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,santa-cruz,Santa Cruz,Dtr,dtr,1992,,,,https://retrosnow.com/shop/santa-cruz/92-santa-cruz/santa-cruz-dtr-62/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,santa-cruz,Santa Cruz,Tao,tao,1992,Tao,1992,,https://retrosnow.com/shop/santa-cruz/92-santa-cruz/santa-cruz-tao/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,shift,Shift,166,,1995,,,,https://retrosnow.com/shop/shift/95-shift/shift-166/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,shortys,Shorty's,Shortys,shortys,1995,,,,https://retrosnow.com/shop/shortys/95-shortys/shortys/,"primary (museum, photographed board)",verified,earliest_sourced,
BRAND_NEW,shortys,Shorty's,144,,1995,,,,https://retrosnow.com/shop/shortys/95-shortys/shortys-144/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,sims,Sims,1500 Fe,1500 fe,1986,1500 FE,1985,,https://retrosnow.com/shop/sims/sims-86/sims-1500-fe/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,sims,Sims,1710 Blade,1710 blade,1986,,,,https://retrosnow.com/shop/sims/sims-86/sims-1710-blade/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,sims,Sims,Atv,atv,1991,ATV Pro,2024,retrosnow earlier (1991 vs 2024),https://retrosnow.com/shop/sims/91-sims/sims-atv-161/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,sims,Sims,Noah Skate,noah skate,1994,,,,https://retrosnow.com/shop/sims/sims-94/sims-noah-skate/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,sims,Sims,Noahs Ark,noahs ark,1993,,,,https://retrosnow.com/shop/sims/sims-93/sims-noahs-ark/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,sims,Sims,Shaun Palmer,shaun palmer,1993,Shaun Palmer,1993,,https://retrosnow.com/shop/sims/sims-93/sims-shaun-palmer/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,sims,Sims,Shawn Palmer Pimp,shawn palmer pimp,1993,,,,https://retrosnow.com/shop/sims/sims-93/sims-shawn-palmer-pimp/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,sims,Sims,Terry Kidwell Pro Model,terry kidwell,1987,Terry Kidwell,1985,,https://retrosnow.com/shop/sims/sims-87/sims-terry-kidwell-pro-model/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,sims,Sims,Palmer Baby Clown,palmer baby clown,1993,,,,https://retrosnow.com/shop/sims/sims-93/sims-palmer-baby-clown/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,type-a,Type A,Danny Way,danny way,1995,,,,https://retrosnow.com/shop/type-a/95-type-a/type-a-danny-way/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,vision,Vision,Freestyle,freestyle,1992,Freestyle,1992,,https://retrosnow.com/shop/vision/92-vision/vision-freestyle-156/,"primary (museum, photographed board)",verified,earliest_sourced,
RETROSNOW_ONLY,sims,Sims,Ultimate 1700 Swallow Tail,ultimate 1700 swallow tail,1987,,,,https://retrosnow.com/shop/sims/sims-87/sims-ultimate-1700-swallow-tail/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,sims,Sims,Terry Kidwell,terry kidwell,1989,Terry Kidwell,1985,,https://retrosnow.com/shop/sims/sims-89/sims-terry-kidwell-1635/,"primary (museum, photographed board)",verified,earliest_sourced,
MATCH,sims,Sims,Shannon Dunn,shannon dunn,1993,Shannon Dunn,1993,,https://retrosnow.com/shop/sims/sims-93/sims-shannon-dunn/,"primary (museum, photographed board)",verified,earliest_sourced,
