brand,our_model,our_first_year,sendit_first_year,action_taken,reviewer_decision
Arbor,S Series,2003,2002,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Burton,PJ,1992,1990,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Burton,Woody,1987,1986,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
GNU,Barrett,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
GNU,Fiction,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
GNU,Recess,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
GNU,Upgrade,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Jones,Airheart,2018,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Jones,Explorer,2016,2015,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
K2,Afterblack,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Cortado,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Dynamiss,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Glider,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Legitimizer,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Lib Rig,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Mayhem Sweetfish,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Off Ramp,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Two Time,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Banana Blaster,2027,2025,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Lib Tech,Escalator Split,2027,2025,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Never Summer,Benchmark,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Never Summer,Easy Rider,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Never Summer,Llama,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Never Summer,Nokhu,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Never Summer,Valhalla,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nidecker,Beta,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nidecker,Beta APX,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nidecker,Cheat Code,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nidecker,Venus,2027,2025,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nidecker,The Mosquito,2027,2023,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nidecker,The Smoke,2027,2023,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Arial,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Banker,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Drop,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,FinTwin,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Mercy,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Nova,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Phase,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Santoku,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nitro,Spirit,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Nobile,Race SBX,2024,2022,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Wildcard,2019,2017,"NOT widened (basis=introduced), flagged",keep ours: primary launch claim; record conflict in year_note
Prior,Brandywine,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Fissile,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Khyber,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Legacy,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,MFR,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Slasher,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Slaylok,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Spearhead,2019,2017,"NOT widened (basis=introduced), flagged","accept: ""introduced"" was a v0.1 default, not a catalog claim"
Prior,Thruster,2019,2017,"NOT widened (basis=introduced), flagged",keep ours: primary launch claim; record conflict in year_note
Rome,Boneless,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Rome,Hype,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Rome,Mechanic,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Rome,Ravine,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Rome,Royal,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Rome,Stale Crewzer,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Salomon,Fastlane,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Salomon,Highpath,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Salomon,Jetstream,2027,2026,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,4XP,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,GLIDE,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,LUVARTH,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,NEXTAGE,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,REGNA,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,REV,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,SLEEK,2027,2025,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,SMOOTH,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
Yonex,STYLAHOLIC,2027,2024,first_year widened,"accept: earliest_sourced, Send It is an earlier sighting (already applied)"
