section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Bataleon,Evil Twin,Evil Twin,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Bataleon,Goliath,Goliath,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Bataleon,Airobic,Airobic,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Nitro,Eero Ettala Pro Model,Eero Ettala,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Eero Ettala Pro Model' = catalog 'Eero Ettala' + qualifier
mens,Nitro,Wiig Pro Model,Wiig,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Wiig Pro Model' = catalog 'Wiig' + qualifier
mens,Nitro,Misfit,Misfit,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Nitro,Magnum Warpath,Magnum,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Magnum Warpath' = catalog 'Magnum' + qualifier
mens,Nitro,Team,Team,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Nitro,T1,T1,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Nitro,Swindle,Swindle,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Elan,Vertigo,Vertigo,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Elan,Inverse,Inverse,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Elan,Answer,Answer,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Elan,El Grande,El Grande,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Elan,Prodigy,Prodigy,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,GNU,Danny Kass,Danny Kass,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,GNU,Riders Choice MTX,Riders Choice,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Riders Choice MTX' = catalog 'Riders Choice' + qualifier
mens,GNU,Street Series,Street Series,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Ride,Concept,Concept,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Ride,DH,DH,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Ride,Kink,Kink,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Atomic,Vantage,Vantage,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rome,Agent,Agent,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rome,Graft,Graft,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rome,Artifact,Artifact,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Rome,Crail,Crail,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
mens,Flow,The Team,Team,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'The Team' = catalog 'Team' + qualifier
mens,Flow,Infinite,Infinite,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Burton,Feelgood,Feelgood,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Burton,GTwin,GTwin,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Burton,Troop,Troop,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Burton,Feather,Feather,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Atomic,Polarity,Polarity,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Atomic,Fallen Angel,Fallen Angel,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Atomic,Tika,Tika,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Elan,Aurora,Aurora,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Elan,Leeloo,LeeLoo,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Forum,Spinster,Spinster,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Forum,Star,Star,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Rome,Detail,Detail,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Flow,Myriad,Myriad,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Roxy,Ollie Pop,Ollie Pop,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Roxy,Silhouette,Silhouette,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Roxy,Sugar Day Dreamer,Sugar,QUALIFIED,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,printed 'Sugar Day Dreamer' = catalog 'Sugar' + qualifier
girls,Rossignol,Diva,Diva,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Salomon,Radiant,Radiant,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Salomon,Ivy,Ivy,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
girls,Salomon,Lily,Lily,EXACT,verified,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,
