table,id,field,kept_from,kept,other_from,other
edition,x-trail-jam--2003,edition_label,world-tours,X-Trail Jam 2003,intl-other,X-TRAIL JAM in TOKYO DOME 2003
edition,x-trail-jam--2004,edition_label,world-tours,X-Trail Jam 2004,intl-other,5th X-TRAIL JAM in TOKYO DOME
edition,x-trail-jam--2004,confidence,world-tours,likely,intl-other,verified
edition,x-trail-jam--2005,edition_label,world-tours,X-Trail Jam 2005,intl-other,X-TRAIL JAM in TOKYO DOME 2005
edition,x-trail-jam--2008,notes,world-tours,Last year in the Wikipedia results table. Later editions are referenced by Method Mag and WSF but were not confirmed year by year in this pass.,intl-other,Final Tokyo Dome edition; Japanese coverage of the 2023 revival says the event was discontinued after 2008.
series,us-open-snowboarding,series_name,burton-opens,Burton US Open Snowboarding Championships,legacy-80s-90s,Burton U.S. Open Snowboarding Championships
series,us-open-snowboarding,former_names,burton-opens,National Snowsurfing Championships | National Snowboarding Championships | US Open Snowboarding Championships,legacy-80s-90s,National Snowsurfing Championships | National Snow Surfing Championship | National Snowboarding Championships | U.S. Open Snowboarding Championships
series,us-open-snowboarding,status,burton-opens,dormant,legacy-80s-90s,active
series,us-open-snowboarding,disciplines,burton-opens,slalom | downhill | halfpipe | superpipe | quarterpipe | slopestyle | big-air | boardercross | rail-jam | other,legacy-80s-90s,slalom | giant-slalom | downhill | halfpipe | big-air | other
series,us-open-snowboarding,significance,burton-opens,"The longest-running snowboard contest in the sport and the flagship of Burton's contest programme. Burton's own history page dates the lineage to the 1982 National Snowsurfing Championships at Suicide Six, Vermont; other archives treat that Paul Graves event as a separate contest and date the US Open lineage to Jake Burton Carpenter's 1983 National Snowboarding Championships at Snow Valley, Vermont. The event took the US Open name at Stratton Mountain in 1985, ran there through 2012, moved to Vail in 2013, and was last held in 2020; the 2021 edition was cancelled and Vail confirmed it would not return.",legacy-80s-90s,"Descends from the 1982 National Snowsurfing Championships that Paul Graves organised at Suicide Six, Woodstock, Vermont. Ran at Snow Valley, Vermont in 1983 and 1984 under Jake Burton Carpenter, and from 1985 at Stratton Mountain as the U.S. Open. Burton's own history page treats the 1982 Suicide Six event as edition one of the same lineage."
series,swiss-snowboard-championships,significance,intl-other,"Switzerland's national snowboard titles in freestyle, boardercross and race, run at the end of the Swiss-Ski Audi Snowboard Series season at rotating venues.",legacy-80s-90s,"Cited as one of the first regional European snowboard championships, held at St Moritz in 1986, a year before the European world championships."
series,mt-baker-legendary-banked-slalom,former_names,us-grassroots,Sims Open | Mt. Baker Banked Slalom,legacy-80s-90s,Mt. Baker Banked Slalom
series,mt-baker-legendary-banked-slalom,significance,us-grassroots,"The oldest continuously run snowboard contest in the United States, first held in 1985 on the natural gully at Mt. Baker known as the Natural Halfpipe. Organised by Bob Barci, Tom Sims, Jeff Fulton and the Mt. Baker Hard Core riders after they approached ski area manager Duncan Howat in 1984. Winners receive a duct-tape trophy and an embroidered Carhartt jacket rather than prize money; the event turned down big-money sponsorship and television in the early 1990s and returned to a grassroots format. Entry is capped (400 racers in 2025) and it is widely described as the predecessor of boardercross.",legacy-80s-90s,Founded in 1985 by Bob Barci and Tom Sims at one of the few North American ski areas that welcomed snowboarders at the time. The first race had 14 riders on a roughly 500-foot course with 15 gates. Winners get a duct-tape trophy and a Carhartt jacket rather than prize money. Only the founding edition is captured here; later editions are for the grassroots agent.
series,mt-baker-legendary-banked-slalom,confidence,us-grassroots,verified,legacy-80s-90s,likely
series,usasa-national-championships,significance,us-grassroots,"The season-ending national championships of USASA, the American grassroots amateur snowboard (and, since 2011, freeski) association founded in 1988 by Chuck Allen with $500 of seed money from TransWorld SNOWboarding. The first Nationals were held in 1990; early editions moved between small mountains in Vermont and Maine and hills in Oregon and California, and Copper Mountain, Colorado has been the permanent home since 2008. Athletes qualify through regional series. USASA states nearly all of the U.S. Olympic snowboard and freeski team began in its events.",legacy-80s-90s,"National amateur championships of the United States Amateur Snowboarding Association, which Chuck Allen incorporated in July 1988. Only the 1990 edition is captured here; the modern series belongs to another agent."
series,usasa-national-championships,confidence,us-grassroots,verified,legacy-80s-90s,likely
edition,us-open-snowboarding--1982,venue,burton-opens,Suicide Six,legacy-80s-90s,Suicide Six Ski Area
edition,us-open-snowboarding--1982,notes,burton-opens,Organised by Paul Graves. Doug Bouton won. Burton's own history page opens the US Open lineage with this event; the PSIA-AASI archive treats it as a separate contest from the National Snowboarding Championships Jake Burton Carpenter organised at Snow Valley the following year. Recorded here as the first row of the lineage with the dispute unresolved.,legacy-80s-90s,"DATE CONFLICT. Paul Graves' own site (snurferboy.com) gives 13 February 1982 and names 'The Face' at Suicide Six as the course; snowboardinginsouthernvermont.com gives 6 February 1982 and places it inside the Fourth Annual Woodstock Winter Carnival; the Snowboarder/TransWorld 1980s timeline places it in April. The organiser's own date is used here. About 150 registered riders. Last event to combine Snurfers and snowboards; first amateur division. Downhill racers reportedly clocked over 60 mph. Covered on NBC's Today Show. Sources also disagree on the format: slalom, giant slalom and freestyle (snowboardinginsouthernvermont.com) vs slalom and downhill (Snowboarder timeline)."
edition,us-open-snowboarding--1983,notes,burton-opens,"No lift access; competitors hiked the hill. Andy Coghlan won men's slalom and downhill. Several sources describe this, not 1982, as the first edition of what became the US Open, and Burton's own later edition numbering (2002 = 20th, 2009 = 27th, 2012 = 30th, 2020 = 38th) counts from 1983.",legacy-80s-90s,"Organised by Jake Burton Carpenter; Snowboarder/TransWorld timeline puts it 'in the spring'. Burton's own history page notes there were no lifts - riders hiked. No podium found. City given as Winhall, Vermont (the town Snow Valley sits in) - not independently confirmed in the sources opened."
edition,us-open-snowboarding--1984,notes,burton-opens,Final year at Snow Valley. Andy Coghlan repeated in slalom and downhill.,legacy-80s-90s,Burton's own event history states Andy Coghlan won both the slalom and the downhill.
edition,us-open-snowboarding--1985,edition_label,burton-opens,1985 US Open Snowboarding Championships,legacy-80s-90s,1985 U.S. Open Snowboarding Championships
edition,us-open-snowboarding--1985,disciplines,burton-opens,slalom | downhill,legacy-80s-90s,slalom
edition,us-open-snowboarding--1985,notes,burton-opens,First year at Stratton Mountain and the year the event was formally called the US Open Snowboarding Championships. Riders began wearing speed suits. Tom Sims won men's slalom; Andy Coghlan defended the downhill.,legacy-80s-90s,"First edition at Stratton and the first run under the U.S. Open name, per Burton's own history page. Tom Sims won the men's slalom; the U.S. Ski & Snowboard Hall of Fame biography independently lists a 1985 'U.S. Open of Snowboarding Slalom' win for Sims. Editions from 1986 onward are left to the majors/modern agent."
edition,us-open-snowboarding--1985,confidence,burton-opens,verified,legacy-80s-90s,likely
edition,mt-baker-legendary-banked-slalom--1985,edition_label,us-grassroots,1985 Legendary Banked Slalom,legacy-80s-90s,1985 Mt. Baker Banked Slalom (1st)
edition,mt-baker-legendary-banked-slalom--1985,city,us-grassroots,"Deming, Washington",legacy-80s-90s,Deming
edition,mt-baker-legendary-banked-slalom--1985,notes,us-grassroots,"First edition. Sources disagree on the field size (14 riders per Wikipedia, 16 per Unofficial Networks) and on the date: Mount Baker Experience says February 1985, while Unofficial Networks says the race was deliberately scheduled for Super Bowl Sunday. Tom Sims won; Terry Kidwell 2nd, Ken Achenbach 3rd, Craig Kelly 4th per Mount Baker Experience. Course of roughly 500 feet with 15 gates.",legacy-80s-90s,"Snowboarder/TransWorld 1980s timeline says January 1985; no exact days found. 14 riders, 15 gates, roughly a 500-foot course, few spectators. Organised by Bob Barci and Tom Sims. Tom Sims won the pro men's; no women's field is recorded for 1985. City given as Deming, Washington (Mt. Baker Ski Area's mailing town) - not confirmed in the sources opened."
edition,mt-baker-legendary-banked-slalom--1985,confidence,us-grassroots,verified,legacy-80s-90s,likely
