edition_id,discipline,division,division_label,division_age_band,division_class,division_gender,event_name,place,rider_name,nationality,score_or_time,notes,sources,confidence,source_file,citation_status
air-and-style--1997,quarterpipe,open,,,open,mixed,,3,Michi Albin,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--1998,big-air,open,,,open,mixed,,1,Ingemar Backman,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1998,big-air,open,,,open,mixed,,2,Michi Albin,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1998,big-air,open,,,open,mixed,,3,Thomas Eberharter,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1999,big-air,mens,,,open,men,,1,Stefan Gimpl,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1999,big-air,mens,,,open,men,,2,Andrew Crawford,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1999,big-air,mens,,,open,men,,3,David Benedek,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--1999,quarterpipe,mens,,,open,men,,1,Trevor Andrew,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--1999,quarterpipe,mens,,,open,men,,2,Joachim Köffler,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--1999,quarterpipe,mens,,,open,men,,3,Wolfgang Nyvelt,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--1999,quarterpipe,womens,,,open,women,,1,Pauline Richon,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--1999,quarterpipe,womens,,,open,women,,2,Nicola Pederzolli,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--1999,quarterpipe,womens,,,open,women,,3,Anne Molin Kongsgaard,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2000,big-air,mens,,,open,men,,1,Stefan Gimpl,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2000,big-air,mens,,,open,men,,2,Roger Hjelmstadstuen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2000,big-air,mens,,,open,men,,3,Jussi Oksanen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2000,other,mens,,,open,men,,1,Mike Michaelchuck,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2000,other,mens,,,open,men,,2,Wolfgang Nyvelt,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2000,other,mens,,,open,men,,3,Romain de Marchi,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2000,other,womens,,,open,women,,1,Pauline Richon,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2000,other,womens,,,open,women,,2,Tina Birbaum,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2000,other,womens,,,open,women,,3,Michelle Taggart,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2001,big-air,mens,,,open,men,,1,Stefan Gimpl,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2001,big-air,mens,,,open,men,,2,Darius Heristchian,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2001,big-air,mens,,,open,men,,3,Ingemar Backman,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2001,other,mens,,,open,men,,1,Markku Koski,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2001,other,mens,,,open,men,,2,Martin Černík,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2001,other,mens,,,open,men,,3,Thomas Rechsi,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,likely,wave2-japan-europe,live-source
air-and-style--2001,other,womens,,,open,women,,1,Pauline Richon,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2001,other,womens,,,open,women,,2,Nicola Pederzolli,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2001,other,womens,,,open,women,,3,Caroline Ehrenstrasser,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2002,big-air,open,,,open,mixed,,1,David Benedek,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2002,big-air,open,,,open,mixed,,2,Shaun White,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2002,big-air,open,,,open,mixed,,3,Marc-André Tarte,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2003,big-air,open,,,open,mixed,,1,Shaun White,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2003,big-air,open,,,open,mixed,,2,Joni Malmi,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2003,big-air,open,,,open,mixed,,3,Nicolas Müller,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2004,big-air,mens,,,open,men,,1,Shaun White,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2004,big-air,mens,,,open,men,,2,Nicolas Müller,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2004,big-air,mens,,,open,men,,3,Jussi Oksanen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2005,big-air,open,,,open,mixed,,1,Hampus Mosesson,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2005,big-air,open,,,open,mixed,,2,Mathieu Crepel,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2005,big-air,open,,,open,mixed,,3,Jussi Oksanen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2006,big-air,open,,,open,mixed,,1,Travis Rice,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2006,big-air,open,,,open,mixed,,2,Risto Mattila,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2006,big-air,open,,,open,mixed,,3,Antti Autti,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2007,big-air,open,,,open,mixed,,1,Kevin Pearce,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2007,big-air,open,,,open,mixed,,2,Mikkel Bang,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2007,big-air,open,,,open,mixed,,3,Torstein Horgmo,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2008-a,quarterpipe,open,,,open,mixed,,1,Kevin Pearce,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2008-a,quarterpipe,open,,,open,mixed,,2,Scotty Lago,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2008-a,quarterpipe,open,,,open,mixed,,3,Peetu Piiroinen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2009-a,quarterpipe,open,,,open,mixed,,1,Colin Frei,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2009-a,quarterpipe,open,,,open,mixed,,2,Peetu Piiroinen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2009-a,quarterpipe,open,,,open,mixed,,3,Olivier Gittler,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2009-b,big-air,open,,,open,mixed,,1,Marko Grilc,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2009-b,big-air,open,,,open,mixed,,2,Peetu Piiroinen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2009-b,big-air,open,,,open,mixed,,3,Andreas Wiig,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2010,big-air,open,,,open,mixed,,1,Sébastien Toutant,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2010,big-air,open,,,open,mixed,,2,Seppe Smits,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2010,big-air,open,,,open,mixed,,3,Elias Elhardt,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-a,big-air,open,,,open,mixed,,1,Mark McMorris,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-a,big-air,open,,,open,mixed,,2,Peetu Piiroinen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-a,big-air,open,,,open,mixed,,3,Werner Stock,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-b,big-air,open,,,open,mixed,,1,Peetu Piiroinen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-b,big-air,open,,,open,mixed,,2,Seppe Smits,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-b,big-air,open,,,open,mixed,,3,Haldor Helgason,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-c,big-air,open,,,open,mixed,,1,Ulrik Badertscher,NOR,,,https://www.worldsnowboardfederation.org/air-and-style-norwegian-air-force-conquer-china/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-c,big-air,open,,,open,mixed,,2,Torstein Horgmo,NOR,,,https://www.worldsnowboardfederation.org/air-and-style-norwegian-air-force-conquer-china/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2011-c,big-air,open,,,open,mixed,,3,Ståle Sandbech,NOR,,,https://www.worldsnowboardfederation.org/air-and-style-norwegian-air-force-conquer-china/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2012-a,big-air,open,,,open,mixed,,1,Peetu Piiroinen,FIN,,,https://www.worldsnowboardfederation.org/billabong-air-and-style-2012/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2012-a,big-air,open,,,open,mixed,,2,Seppe Smits,BEL,,,https://www.worldsnowboardfederation.org/billabong-air-and-style-2012/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2012-a,big-air,open,,,open,mixed,,3,Niklas Mattsson,SWE,,,https://www.worldsnowboardfederation.org/billabong-air-and-style-2012/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2012-b,big-air,open,,,open,mixed,,1,Yuki Kadono,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2012-b,big-air,open,,,open,mixed,,2,Peetu Piiroinen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2012-b,big-air,open,,,open,mixed,,3,Ståle Sandbech,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2013-a,big-air,open,,,open,mixed,,1,Eric Willett,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2013-a,big-air,open,,,open,mixed,,2,Sébastien Toutant,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2013-a,big-air,open,,,open,mixed,,3,Aleksander Østreng,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2013-c,big-air,open,,,open,mixed,,1,Sven Thorgren,SWE,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://www.worldsnowboardfederation.org/sven-thorgren-swe-wins-the-6-star-airstyle-beijing/ | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2013-c,big-air,open,,,open,mixed,,2,Sage Kotsenburg,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://www.worldsnowboardfederation.org/sven-thorgren-swe-wins-the-6-star-airstyle-beijing/ | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2013-c,big-air,open,,,open,mixed,,3,Kim Rune Hansen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://www.worldsnowboardfederation.org/sven-thorgren-swe-wins-the-6-star-airstyle-beijing/ | https://en.wikipedia.org/wiki/Air_%26_Style,verified,wave2-japan-europe,live-source
air-and-style--2014,big-air,open,,,open,mixed,,1,Emil Ulsletten,NOR,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2014,big-air,open,,,open,mixed,,2,Ståle Sandbech,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2014,big-air,open,,,open,mixed,,3,Torgeir Bergrem,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2015-a,big-air,open,,,open,mixed,,1,Ståle Sandbech,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2015-a,big-air,open,,,open,mixed,,2,Peetu Piiroinen,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2015-a,big-air,open,,,open,mixed,,3,Yuki Kadono,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2015-b,big-air,open,,,open,mixed,,1,Yuki Kadono,JPN,,,https://www.ibtimes.co.uk/air-style-los-angeles-2015-yuki-kadono-wins-first-switch-backside-triple-cork-1620-1489139 | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2015-b,big-air,open,,,open,mixed,,2,Sébastien Toutant,CAN,,,https://www.ibtimes.co.uk/air-style-los-angeles-2015-yuki-kadono-wins-first-switch-backside-triple-cork-1620-1489139 | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2015-b,big-air,open,,,open,mixed,,3,Ståle Sandbech,NOR,,,https://www.ibtimes.co.uk/air-style-los-angeles-2015-yuki-kadono-wins-first-switch-backside-triple-cork-1620-1489139 | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2016-a,big-air,open,,,open,mixed,,1,Sébastien Toutant,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2016-a,big-air,open,,,open,mixed,,2,Marcus Kleveland,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2016-a,big-air,open,,,open,mixed,,3,Torgeir Bergrem,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2016-b,big-air,open,,,open,mixed,,1,Yuki Kadono,,,,https://www.worldsnowboardfederation.org/sven-thorgren-won-2016-airstyle-tour/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2016-b,big-air,open,,,open,mixed,,2,Kyle Mack,,,,https://www.worldsnowboardfederation.org/sven-thorgren-won-2016-airstyle-tour/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2016-b,big-air,open,,,open,mixed,,3,Sven Thorgren,,,,https://www.worldsnowboardfederation.org/sven-thorgren-won-2016-airstyle-tour/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2017-a,big-air,mens,,,open,men,,1,Max Parrot,CAN,184.32,,https://olympic.ca/2017/02/04/air-style-parrot-wins-big-air-in-innsbruck/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2017-a,big-air,mens,,,open,men,,2,Marcus Kleveland,NOR,179.99,,https://olympic.ca/2017/02/04/air-style-parrot-wins-big-air-in-innsbruck/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2017-a,big-air,mens,,,open,men,,3,Sven Thorgren,SWE,176.33,,https://olympic.ca/2017/02/04/air-style-parrot-wins-big-air-in-innsbruck/ | https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen,verified,wave2-japan-europe,live-source
air-and-style--2017-a,big-air,womens,,,open,women,,1,Enni Rukajärvi,FIN,,,https://www.meinbezirk.at/innsbruck/c-lokales/ergebnisse-air-+-style_a2014182,verified,wave2-japan-europe,live-source
air-and-style--2017-a,big-air,womens,,,open,women,,2,Katie Ormerod,GBR,,,https://www.meinbezirk.at/innsbruck/c-lokales/ergebnisse-air-+-style_a2014182,verified,wave2-japan-europe,live-source
air-and-style--2017-a,big-air,womens,,,open,women,,3,Sina Candrian,SUI,,,https://www.meinbezirk.at/innsbruck/c-lokales/ergebnisse-air-+-style_a2014182,verified,wave2-japan-europe,live-source
air-and-style--2017-b,big-air,mens,,,open,men,,1,Mark McMorris,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://onboardmag.com/news/snowboarding-events/air-and-style-beijing-2017-anna-gasser-mark-mcmorris-win-big-air.html,verified,wave2-japan-europe,live-source
air-and-style--2017-b,big-air,mens,,,open,men,,2,Tiarn Collins,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://onboardmag.com/news/snowboarding-events/air-and-style-beijing-2017-anna-gasser-mark-mcmorris-win-big-air.html,verified,wave2-japan-europe,live-source
air-and-style--2017-b,big-air,mens,,,open,men,,3,Torgeir Bergrem,,,,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://onboardmag.com/news/snowboarding-events/air-and-style-beijing-2017-anna-gasser-mark-mcmorris-win-big-air.html,verified,wave2-japan-europe,live-source
