edition_id,series_id,year,edition_label,start_date,end_date,venue,city,country,disciplines,status,status_note,notes,sources,confidence,source_file
air-and-style--2016-a,air-and-style,2016,Opel Air + Style Innsbruck 2016,,,Olympiaworld Innsbruck,Innsbruck,Austria,big-air,held,,First year at Olympiaworld rather than in the Bergisel stadium (Onboard's report places the arena in an open car park beside the Bergisel). Strong valley winds forced organisers to cancel the rounds after round two and to score the podium from the three highest combined round-two scores. Collective reports 2016 as the first year women competed at Innsbruck; Method Mag says the first women's field at Innsbruck was 2017. Shaun White announced during the event that the tour would expand to five stops. Exact dates not found in a source I opened.,https://www.innsbruck.info/blog/en/events/air-and-style2016/ | https://onboardmag.com/news/snowboarding-events/bad-wind-airs-tyle-innsbruck-2016-report-gallery.html | https://collectivemag.de/air-style-vom-bergisel-stadion-in-die-ganze-welt-pid16548/,likely,world-tours
air-and-style--2016-b,air-and-style,2016,Air + Style Los Angeles 2016,2016-02-20,2016-02-21,Exposition Park,Los Angeles,United States,big-air,held,,"Second LA edition, moved from the Rose Bowl to Exposition Park next to the LA Coliseum; 16-storey big air jump plus two music stages.",https://www.welikela.com/air-style-festival-2016/,verified,world-tours
air-and-style--2017-a,air-and-style,2017,Air + Style Innsbruck-Tirol 2017,2017-02,,Olympiaworld Innsbruck,Innsbruck,Austria,big-air,held,,"Method Mag calls this the 34th edition and says it was the first year women competed in the Air + Style big air, with 30 men and 8 women plus 16 live music acts over two days. Tiroler Tageszeitung reports the Air+Style contest's history ended in 2017 in the Olympiaworld car park. Edition numbering here (34th) is inconsistent with Wikipedia's numbering (25th for Beijing 2013).",https://www.methodmag.com/news/air-style-festival-innsbruck-tirol-2017.html | https://www.tt.com/artikel/16237751/das-erbe-des-air-style-snowboarder-fliegen-wieder-auf-bergisel-ab,likely,world-tours
air-and-style--2017-b,air-and-style,2017,Air + Style Beijing 2017,2017-02,,,Beijing,China,big-air,held,,Reported by Sport1 in February 2017; exact dates and venue not stated in the page I opened. [v0.2 flag: the row carries a February 2017 date but the German source dates the Beijing edition 25 November 2017. Unresolved.],https://www.sport1.de/actionsport/2017/02/air-style-beijing-2017-anna-gasser-and-mark-mcmorris-holen-den-sieg,likely,world-tours
air-and-style--2017-c,air-and-style,2017,Air + Style Los Angeles 2017,2017-02-18,2017-02-19,Exposition Park,Los Angeles,United States,big-air,held,,"Third and, on the evidence found, last LA edition.",https://edmidentity.com/2017/01/11/air-style-2017-daily-lineups/,verified,world-tours
air-and-style--2018,air-and-style,2018,Air + Style Beijing 2018,2018-11-24,,Beijing Olympic Sports Centre,Beijing,China,big-air,held,,FIS Snowboard Big Air World Cup stop. Not present in the wave-1 edition list.,https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen | https://www.fis-ski.com/en/snowboard/park-and-pipe/pipe-and-slope/news-multimedia/news/gasser-and-thorgren-claim-air-style-big-air-wins-in-beijing,verified,wave2-japan-europe
air-and-style--2019,air-and-style,2019,Air + Style Beijing 2019,2019-12,,,Beijing,China,big-air,held,,Run as an FIS big air World Cup (FIS news item dated 15 December 2019). German Wikipedia calls the 2019 Beijing event the 25th and most recent edition of Air & Style. Exact dates and venue not confirmed in a page I opened.,https://www.fis-ski.com/snowboard-park-and-pipe/news/2019-20/air-style-beijing-big-air-world-cup-2019-20 | https://de.wikipedia.org/wiki/Air_%26_Style,likely,world-tours
argentina-snowboard-tour--2012,argentina-snowboard-tour,2012,Argentina Snowboard Tour 2012,2012-05,2012-08,,,Argentina,big-air | slopestyle,held,,"Five events between May and August 2012: urban big airs in Buenos Aires (one of them invitational) plus stops at Cerro Chapelco, Cerro Bayo and Cerro Catedral. All but the invitational open to any rider regardless of nationality or level.",https://www.worldsnowboardfederation.org/the-argentina-snowboard-tour-ast/,likely,intl-other
argentina-snowboard-tour--2014,argentina-snowboard-tour,2014,Argentina Snowboard Tour 2014,,,,,Argentina,slopestyle | big-air,held,,"Third tour stop was the Snow Travel South America Snowboard Challenge slopestyle at La Hoya on 20 August 2014, the second time La Hoya hosted it and the final stop of the season for Brazilian riders. Other 2014 stops not listed in the source. Related Argentine events reported the same season: Rip Curl Grom Winter Search and the ALIVE and KICKING Rip Curl Pro (23 Aug) at Cerro Catedral, Bariloche, and the DC Slopestyle Pro at Cerro Chapelco (5 Aug).",https://www.worldsnowboardfederation.org/third-tour-stop-argentina-snowboard-tour-2014/ | https://www.worldsnowboardfederation.org/?s=Argentina,likely,intl-other
audi-nines--2014,audi-nines,2014,Nine Knights & Nine Queens 2014,,,Livigno,Livigno,Italy,big-air | hip | other,held,,"First edition to combine the men's and women's events, and the first with snowboarders on the roster.",https://www.downdays.eu/articles/audi-nines-retrospective/,likely,intl-other
audi-nines--2016,audi-nines,2016,Suzuki Nine Knights 2016,,,Watles,"Mals/Malles Venosta, South Tyrol",Italy,hip | big-air | other,held,,"First Nine Knights at Watles; the edition built around the 'Perfect Hip' feature. A separate Nine Queens ran at Serfaus-Fiss-Ladis, Austria the same year.",https://www.downdays.eu/articles/audi-nines-retrospective/,likely,intl-other
audi-nines--2017,audi-nines,2017,Suzuki Nine Royals 2017,,,Watles,"Mals/Malles Venosta, South Tyrol",Italy,hip | big-air | other,held,,"First official combined men's and women's, ski and snowboard event under the Nine Royals name.",https://www.downdays.eu/articles/audi-nines-retrospective/,likely,intl-other
audi-nines--2018,audi-nines,2018,Audi Nines 2018,,,Soelden / Obergurgl,"Oetztal, Tirol",Austria,hip | big-air | other,held,,First edition under the Audi Nines name after Audi became title sponsor and the event was rebranded.,https://www.downdays.eu/articles/audi-nines-retrospective/,likely,intl-other
audi-nines--2019,audi-nines,2019,Audi Nines 2019,,,Soelden / Obergurgl,"Oetztal, Tirol",Austria,hip | big-air | other,held,,,https://www.downdays.eu/articles/audi-nines-retrospective/,likely,intl-other
audi-snowboard-series--2013,audi-snowboard-series,2013,Audi Snowboard Series 2013/14,,,,,Switzerland,slopestyle | halfpipe | boardercross | other,held,,"More than 30 events across Switzerland in freestyle, boardercross and race. Named stops include a 3-Star World Snowboard Tour contest at Laax and European Cups at Davos, Lenzerheide and Lenk; the Swiss Championships in all three disciplines close the season, with the freestyle championships at Corvatsch on 11-12 April 2014.",https://www.worldsnowboardfederation.org/audi-snowboard-series/,verified,intl-other
b4bc-snowboard-and-music-festival--1996,b4bc-snowboard-and-music-festival,1996,1st B4BC Snowboard + Music Festival,1996-04,1996-04,,,USA,,held,,"Inaugural festival, April 1996. Venue not stated in the source found.",https://b4bc.org/about/,likely,us-grassroots
baldy-banked-slalom--2026,baldy-banked-slalom,2026,2026 Baldy Banked Slalom,2026-03-07,2026-03-07,Sun Valley Resort,"Sun Valley, Idaho",USA,banked-slalom,held,,Described by the source as 'now in its 14th year'. Dates from a third-party events roundup.,https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
bc-snowboard-provincial-series--2025,bc-snowboard-provincial-series,2025,2025 BC Snowboard Provincial Series,2025-01-11,2025-03-19,,,Canada,slopestyle | boardercross,held,,Season stops per BC Snowboard's results archive: Whistler Blackcomb slopestyle 11-12 January; Big White SBX 18-19 January; Big White slopestyle 25-26 January; Silver Star slopestyle 22-23 February; Sun Peaks slopestyle 17 March; Sun Peaks SBX 19 March. The Neil Edgeworth Memorial Banked Slalom (28-30 March) and the Sun Peaks Speed Nation SBX Tour stop (4-5 January) appear in the same archive but are separate events.,https://www.bcsnowboard.com/2025-event-results/,verified,canada
big-white-para-snowboard-world-cup--2017,big-white-para-snowboard-world-cup,2017,2017 World Para Snowboard Championships,2017-02-01,2017-02-08,Big White Ski Resort,Kelowna,Canada,boardercross | banked-slalom,held,,"Over 100 athletes from 25 countries. Snowboardcross contested 4 February, banked slalom 7 February, in SB-LL1, SB-LL2 and SB-UL classes for men and women. Dry-land work was done in advance to rebuild the start section and first turn.",https://www.canadasnowboard.ca/en/news/?id=1147,verified,canada
big-white-para-snowboard-world-cup--2018,big-white-para-snowboard-world-cup,2018,2018 World Para Snowboard World Cup Finals,2018-02-05,2018-02-09,Big White Ski Resort,Kelowna,Canada,boardercross | banked-slalom,held,,"World Cup finals, listed on Canada Snowboard's 2017-18 domestic calendar.",https://www.canadasnowboard.ca/en/news/?id=1213,verified,canada
big-white-para-snowboard-world-cup--2019,big-white-para-snowboard-world-cup,2019,2019 World Para Snowboard World Cup Big White,2019-02-03,2019-02-08,Big White Ski Resort,Kelowna,Canada,boardercross | banked-slalom,held,,Canada Snowboard announced this as para snowboard's seventh consecutive year at Big White.,https://www.canadasnowboard.ca/en/news/?id=1259 | https://www.canadasnowboard.ca/en/news/?id=1258,verified,canada
big-white-para-snowboard-world-cup--2025,big-white-para-snowboard-world-cup,2025,FIS Para Snowboard World Championships 2025,2025-03-04,2025-03-10,"TELUS Park, Big White Ski Resort",Kelowna,Canada,boardercross | banked-slalom | team,held,,Banked slalom course had 23 banks. Included the first team event in para snowboard World Championship history.,https://www.bigwhite.com/explore-big-white/blog/mountain-news/fis-pswc-25,verified,canada
blue-mountain-fis-snowboard-world-cup--2013,blue-mountain-fis-snowboard-world-cup,2013,2013 Blue Mountain World Cup snowboard cross,2013-02-01,2013-02-02,Blue Mountain Resort,Collingwood,Canada,boardercross,held,,"Listed in the FIS calendar for the 2013 season as 'Blue Mountain WC - QUA 4xSBX'. [QA-corrected: FIS calendar reads 4xSBX, four snowboard cross races, not a team event.]",https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=2013&categorycode=WC&nationcode=CAN,likely,canada
blue-mountain-fis-snowboard-world-cup--2020,blue-mountain-fis-snowboard-world-cup,2020,2020 Blue Mountain FIS Snowboard World Cup (PGS),2020-02-29,2020-03-01,Blue Mountain Resort,Collingwood,Canada,parallel-giant-slalom,held,,,https://olympic.ca/2019/10/24/winter-competitions-coming-to-canada-in-2019-20/,verified,canada
bomb-hole-cup--2026,bomb-hole-cup,2026,5th Annual Bomb Hole Cup,,,Brighton Resort,"Brighton, Utah",USA,banked-slalom | jib,held,,"Day one banked slalom, day two open-jam park showdown. Held in April 2026; exact dates not stated on the resort page, which announces April 3-4, 2027 for the next edition.",https://www.brightonresort.com/events/the-bomb-hole-cup | https://www.snowboard.international/features/north-america-snowboard-events-2025-26/,likely,us-grassroots
bomber-banked-slalom--2026,bomber-banked-slalom,2026,13th Annual Bomber Banked Slalom,2026-03-28,2026-03-29,Mission Ridge Ski and Board Resort,"Wenatchee, Washington",USA,banked-slalom,held,,One run per day over two days; 14 divisions; field capped at 250 snowboarders. Course on Katsuk at the summit off Chair 2.,https://www.missionridge.com/event/bomber-banked-slalom/,likely,us-grassroots
bucket-banked-slalom--2026,bucket-banked-slalom,2026,2026 Bucket Banked Slalom,2026-04-11,2026-04-11,Winter Park Resort,"Winter Park, Colorado",USA,banked-slalom,cancelled,Cancelled due to snow conditions.,"The next edition is announced for April 10, 2027.",https://www.winterparkresort.com/things-to-do/competition-center/comp-center-events/bucket-banked-slalom,likely,us-grassroots
burton-australian-open--2008,burton-australian-open,2008,2008 Burton Australian Open,2008-09-02,2008-09-06,Perisher Blue,,Australia,,held,,"Second stop of the 2008/09 Burton Global Open Series, as announced in the series calendar. Disciplines not stated in the announcement. [QA-flagged: dates and venue are from a pre-season calendar, so the event is confirmed as scheduled rather than as held.]",https://whitelines.com/archive/news/burton-global-open-series-08-09.html,likely,burton-opens
burton-canadian-open--2009,burton-canadian-open,2009,2009 Burton Canadian Open,,,Canada Olympic Park,Calgary,Canada,slopestyle,held,,"Rated Swatch TTR 5Star. Mikkel Bang and Silvia Mittermueller won the slopestyle, reported by Onboard on 2009-02-09. Unresolved: the 2008/09 Burton Global Open Series calendar announced the Burton Canadian Open for 2008-12-01 to 2008-12-07 at the same venue, so either the edition moved to February 2009 or there were two runnings. Only one edition row is recorded here.",https://onboardmag.com/news/snowboarding-events/burton-canadian-open-slopestyle.html | https://whitelines.com/archive/news/burton-global-open-series-08-09.html,likely,burton-opens
burton-canadian-open--2010,burton-canadian-open,2010,2010 Burton Canadian Open,2010-02-01,2010-02-07,Canada Olympic Park,Calgary,Canada,halfpipe | slopestyle,held,,5Star TTR event; men's and women's slopestyle and halfpipe. Dates from the TTR World Snowboard Tour registration listing.,https://www.worldsnowboardfederation.org/registration-open-for-ttr-world-snowboard-tour-events/,verified,burton-opens
burton-european-open--1999,burton-european-open,1999,1999 Burton European Open,,,Axamer Lizum / Seegrube,Innsbruck,Austria,halfpipe | slopestyle,held,,"Reported as the first Burton European Open, with the halfpipe at Axamer Lizum and the slopestyle at Seegrube in the Innsbruck area. Natasza Zurek won the halfpipe. Note that later edition numbering used by the organisers and the World Snowboard Federation (2011 = 12th annual, 2012 = 13th annual) counts the first edition as 2000, so the year of this first edition is disputed.",https://www.burton.com/blogs/the-burton-blog/10-years-laax-open/ | https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html,likely,burton-opens
burton-european-open--2001,burton-european-open,2001,2001 Burton European Open,,,Fieberbrunn,Fieberbrunn,Austria,halfpipe | slopestyle,held,,The only year alpine snowboarders competed alongside the freestyle disciplines.,https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html | https://coolerlifestyle.com/news/events/the-burton-european-open.html | https://onboardmag.com/news/european-news/laax-set-to-host-laax-open-2016.html,likely,burton-opens
burton-european-open--2002,burton-european-open,2002,2002 Burton European Open,,,Livigno,Livigno,Italy,halfpipe | slopestyle,held,,"Cooler's 2009 retrospective places the Burton European Open at Livigno, Italy for 2002-2004. Exact dates not sourced. Natasza Zurek won the halfpipe at Livigno in 2003.",https://coolerlifestyle.com/news/events/the-burton-european-open.html | https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html,likely,burton-opens
burton-european-open--2003,burton-european-open,2003,2003 Burton European Open,2003-01-18,2003-01-25,Livigno,Livigno,Italy,halfpipe | slopestyle,held,,"Cooler's 2009 retrospective places the Burton European Open at Livigno, Italy for 2002-2004. Exact dates not sourced. Natasza Zurek won the halfpipe at Livigno in 2003. [v0.3 archive: Open Championships of Snowboarding 2003 calendar: ""Jan 18 - 25, 2003 Livigno, IT"".] [v0.3 archive: Open Championships of Snowboarding 2003 calendar: ""Jan 18 - 25, 2003 Livigno, IT"".]",https://coolerlifestyle.com/news/events/the-burton-european-open.html | https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html | https://web.archive.org/web/20030205093000/http://www.opensnowboarding.com/,likely,burton-opens
burton-european-open--2004,burton-european-open,2004,2004 Burton European Open,2004-01-10,2004-01-17,Livigno,Livigno,Italy,halfpipe | slopestyle,held,,"Cooler's 2009 retrospective places the Burton European Open at Livigno, Italy for 2002-2004. Exact dates not sourced. Natasza Zurek won the halfpipe at Livigno in 2003. [v0.3 archive: 2004 Open Championships of Snowboarding calendar: ""Burton European Open January 10-17, 2004 Livigno, Italy"".] [v0.3 archive: 2004 Open Championships of Snowboarding calendar: ""Burton European Open January 10-17, 2004 Livigno, Italy"".]",https://coolerlifestyle.com/news/events/the-burton-european-open.html | https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html | https://web.archive.org/web/20040205215129/http://www.opensnowboarding.com/,likely,burton-opens
burton-european-open--2005,burton-european-open,2005,2005 Burton European Open,2005-01-15,2005-01-22,Laax,Laax,Switzerland,halfpipe | slopestyle,held,,"Laax became the permanent home of the Burton European Open from 2005. Natasza Zurek won slopestyle in both 2005 and 2006. Exact dates not sourced. [v0.3 archive: Open Championships of Snowboarding calendar: ""Burton European Open Jan. 15-22, 2005 Laax, Switzerland"".] [v0.3 archive: Open Championships of Snowboarding calendar: ""Burton European Open Jan. 15-22, 2005 Laax, Switzerland"".]",https://coolerlifestyle.com/news/events/the-burton-european-open.html | https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html | https://web.archive.org/web/20050113043806/http://www.opensnowboarding.com/,likely,burton-opens
burton-european-open--2006,burton-european-open,2006,2006 Burton European Open,2006-01-14,2006-01-21,Laax,Laax,Switzerland,halfpipe | slopestyle,held,,"Laax became the permanent home of the Burton European Open from 2005. Natasza Zurek won slopestyle in both 2005 and 2006. Exact dates not sourced. [v0.3 archive: Open Championships of Snowboarding calendar: ""Burton European Open Jan. 14-21, 2006 Laax, Switzerland"".] [v0.3 archive: Open Championships of Snowboarding calendar: ""Burton European Open Jan. 14-21, 2006 Laax, Switzerland"".]",https://coolerlifestyle.com/news/events/the-burton-european-open.html | https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html | https://web.archive.org/web/20060213052702/http://www.opensnowboarding.com/,likely,burton-opens
burton-european-open--2007,burton-european-open,2007,2007 Burton European Open,2007-01-20,2007-01-27,Laax,Laax,Switzerland,,held,,"The 8th Burton European Open, and a 6Star event on the 2006/07 TTR World Snowboard Tour. The BEO's own history page, written for the 2007 event, says ""The Burton European Open goes into his 8th edition in 2007"".",https://web.archive.org/web/20061104145301/http://www.opensnowboarding.com/ | https://web.archive.org/web/20070817202135/http://www.burtoneuropeanopen.com/History.aspx,verified,wave3-archive
burton-european-open--2008,burton-european-open,2008,2008 Burton European Open,2008-01-11,2008-01-18,Laax,Laax,Switzerland,halfpipe | slopestyle,held,,"The fourth 6Star stop of the Swatch TTR World Snowboard Tour season and the first event that season to host both men's and women's fields, with 1000 ranking points per discipline.",https://www.worldsnowboardfederation.org/burton-european-open-2008/ | https://www.worldsnowboardfederation.org/burton-european-open-08-results/,verified,burton-opens
