brand_id,brand_name,founded_year,end_year,status,founder,country,hq_city,parent_company,confidence,notes,sources
barfoot,Barfoot,1978,,dormant,Chuck Barfoot,USA,"Santa Barbara / Ventura, California",,verified,"Chuck Barfoot co-built the 1978 Flying Yellow Banana with Tom Sims and Bob Webber, split from Sims around 1981 and ran Barfoot Snoboards. Credited with the twin-tip (1987) and insert hardware. Brand site says 'Since 1978'; VTSSM dates the company to 1981. Cult following; founder later stepped back. | Chuck Barfoot built early boards with Tom Sims; own company with twin-tip freestyle shape from 1987 (Snowboarder timeline). ISM 1988 address: 4693-4 Telephone Road. Founded_year here is the company formation per timeline; Barfoot-branded boards appear in the Jan 1987 ISM guide.",https://www.barfoot.com/pages/history | https://www.independent.com/2008/03/06/barfoot-snowboards-turns-30/ | https://www.vtssm.org/snowboarding | https://www.michigansnowboardmuseum.com/boards-from-the-legends.html | https://snowbrains.com/top-5-most-missed-snowboard-brands-according-to-snowbrains-readers/ | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://archive.org/details/ISM-87-91
bataleon,Bataleon,2003,,active,Jorgen Karlsen,Netherlands,Amsterdam (origins Norway),Nidecker Group,verified,Triple Base Technology (3BT). Brand archive dates 2003; illicit snowboarding dates origins 1998 in Norway. Now under Nidecker Group. | Triple Base Technology (3BT). Official board archive lists ranges from 2004-05 onward (prototypes/'Hi turn' before).,https://bataleon.com/pages/board-archive | http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html | https://www.ndk.group/ | https://whitelines.com/brands/bataleon
bc-stream,BC Stream,,,active,,Japan,,ACTGEAR,likely,Japanese carving/freeride brand (Hammerhead models). | Only homepage reachable; model names not extracted. THIN.,https://bc-stream.com/ | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
bird-surf,Bird Surf,1983,1989,defunct,E. Mayhew,France,,,likely,Sponsored Jean Nerva and Phil Martin.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
black-fire,Black Fire,2002,,active,,Russia,,,likely,Budget boards built at Elan's Austrian factory; listed on SnowDB.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html | https://www.snowdb.com/
black-pearl,Black Pearl,,,active,,Switzerland,,,likely,,https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
black-snow,Black Snow,,,defunct,,Canada,,,likely,"Molded composite decks with cheap bindings: Legend, Mogul Monster, Edge (1988).",https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://gdharries.com/journal/twenty-eight-years-of-snowboards
boheme,Bohème,,,dormant,,,,,likely,Listed on SnowDB catalog. Current status not verified.,https://www.snowdb.com/
bradar,Bradar,1986,,defunct,,,,,likely,Fully plastic with short edges near bindings.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
brandy,Brandy,1984,,defunct,Allen Rech,USA,California,,likely,Swallowtail with mid rudder and side fins.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
buddybuddy,BuddyBuddy,2017,,active,Mike Gelbricht,Germany,Erzgebirge (Dresden),,likely,AnchorCoreTechnology; hydropower factory.,https://www.boardsportsource.com/brand-profile-strong-sustainable-snowboards-from-german-based-buddybuddy/
burton,Burton,1977,,active,Jake Burton Carpenter,USA,"Burlington, Vermont (founded in Londonderry, Vermont)",,verified,"Founded 1977 with $20,000; Austrian plant in Innsbruck from 1985; HQ Burlington VT. Owned by the Carpenter family (Donna Carpenter). Acquired The Program brands (Forum, Special Blend, Foursquare) from Four Star Distribution in 2004 and wound them down by 2014. Also owns Anon and RED.",https://www.encyclopedia.com/books/politics-and-business-magazines/burton-snowboards-inc | https://grokipedia.com/page/Burton_Snowboards | https://www.michigansnowboardmuseum.com/boards-from-the-legends.html | https://www.vtssm.org/snowboarding | https://whitelines.com/archive/news/burton-snowboards-to-drop-forum-and-make-other-big-changes.html
canadian-flyer,Canadian Flyer,,,defunct,,USA,"Peabody, Massachusetts",Brookfield Manufacturing / Hyde Athletic,likely,Entry-level plastic molded board.,https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html
capita,CAPiTA,2000,,active,Jason Brown and Blue Montgomery,USA,"Seattle, Washington (corporate entity Core S.r.l., Delebio, Italy)",,verified,"Boards built at The Mothership, Austria (100% clean energy); B Corp. Also builds for Bataleon/Lobster. | Founded early 2000s per Whitelines brand guide; boards built at The Mothership factory in Austria.",https://whitelines.com/brands/capita | https://www.capitasnowboarding.com/ | https://www.fieldmag.com/articles/most-influential-international-snowboard-brands | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html
cardiff,Cardiff,,,active,,USA,,,likely,Cardiff Snowcraft. Earliest model year sourced 2020 (Crane).,https://thegoodride.com/snowboard-reviews/cardiff-crane-2020-2023-snowboard-review/
cardiff-snowcraft,Cardiff Snowcraft,,,active,,USA,"Cottonwood Heights / Wasatch, Utah",,likely,Splitboard-first design; founded by an architect-snowboarder for Cardiff Fork.,https://www.skiutah.com/members/cardiff-snowcraft | https://cardiffsnow.com/
chaix-vanom,Chaix Vanom,1984,1986,defunct,,France,,,likely,Small French maker.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
checker-pig,Checker Pig,1983,,defunct,Udo Gurgel,Germany,,,verified,Created first marketed women's freestyle pro model (Lisa Vinciguerra). Ended in the late 1990s. | German brand appearing in ISM/TWS guides 1991-1992.,http://www.illicitsnowboarding.com/2013/04/legends-of-fallen-ii-stickers-of-lost.html | https://snowbrains.com/top-5-most-missed-snowboard-brands-according-to-snowbrains-readers/ | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93
choc,Choc,1992,,dormant,,Czech Republic,,,likely,Mostly OEM for other brands; intermittent releases.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
circle-one,Circle One,1983,,defunct,,United Kingdom,,,likely,English windsurfing company.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
coiler,Coiler,1995,,active,Bruce Varsava,Canada,,,verified,Custom alpine boards; easing off production from 2024. | Custom alpine/freecarve builder; full-time from 2007; scaling back production 2024/25.,https://www.coiler.com/ | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/ | https://coiler.com/about/ | https://coiler.com/
contract,Contract,2009,,dormant,,Poland,,NBL Sport,likely,Public face of the NBL Sport OEM factory.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
crazy-banana,Crazy Banana,1983,2001,defunct,Harry Gunz and Paul Gruber,Switzerland,,,verified,"Dominant European neon-era brand; founders later created Rad Air. Faded early 2000s. | Late-80s/early-90s brand with the Breakout, Chilli Willi and Voodoo models.",http://www.illicitsnowboarding.com/2013/04/legends-of-fallen-ii-stickers-of-lost.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://archive.org/details/tws-89-93 | https://archive.org/details/ISM-87-91
dc,DC,1993,,active,,USA,"Huntington Beach, California",Quiksilver (2004),verified,"Skate shoe brand that expanded into snowboards, bindings and boots; MTN LAB. | DC Shoes snowboard line; 2008/09-2011/12 boards in SnowDB (PBJ, MLF, Devun Walsh pro). evo currently lists only DC boots. Founding facts not confirmed.",https://whitelines.com/brands/dc | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.snowdb.com/catalog/dc | https://www.snowboarder.com/transworld-snowboarding-archive/snowboarding-gear/dc-devun-walsh/
device,Device,,1997,defunct,,USA,"Boulder, Colorado",Ride (June 1997),likely,Acquired by Ride for $3M; Boulder offices closed.,https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world
dinosaurs-will-die,Dinosaurs Will Die,2003,,active,Sean Genovese and Jeff Keenan,Canada,,,verified,Rider-owned; punk DIY aesthetic.,https://whitelines.com/brands/dinosaurs-will-die | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.snowdb.com/
division-23,Division 23,1993,,defunct,Greg DiLeo,Canada,"Los Angeles, California",Jaysport (July/Aug 1999),likely,Canadian 1990s brand; Peter Line's rainbow pro model before Forum. Acquired by Jaysport with Type A and Atlantis in 1999. | TWS Oct 1993 describes L.A.-based Division 23 as a new company spearheaded by ex-Barfoot/Kemper worker Greg DiLeo with a new-school focus.,https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://whitelines.com/archive/features/comeback-kit.html | https://archive.org/details/tws-89-93
donek,Donek,1987,,active,Sean Martin,USA,"Watkins, Colorado",,verified,Started as a high-school project; incorporated 1995; Watkins facility 1999. Custom carving/race/freeride boards. | Custom softboot and alpine hardboot boards.,https://www.donek.com/about | https://usmanufacturingreport.com/article/donek-snowboards/ | https://grokipedia.com/page/donek | https://donek.com/about/ | https://www.donek.com/
duotone,Duotone,,,defunct,,,,Boards & More,likely,"1990s snowboard brand owned by Boards & More ('very cool brand back then, high in quality'); name revived 2018 for the group's windsurf/kite brand.",https://www.continentseven.com/duotone-windsurfing-new-boards-more-brand/
dupraz,Dupraz,2004,,active,Serge Dupraz,France,Fillinges,,verified,D1 all-mountain shape; c.2003/04 (Whitelines A-Z says 2003). | Minimal line: D1 in several lengths plus D-Tour split.,https://www.dupraz-snowboards.com/en/ | https://www.boardsportsource.com/legend-serge-dupraz-resurrects-hot-snowboards-brand-profile/ | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://dupraz-snow.com/
duret,Duret,,,defunct,,France,,,likely,France's oldest ski maker; snowboards from 1987 with spray-painted rainbow graphics.,https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html
dynastar,Dynastar,,,defunct,,France,,Rossignol,likely,Ski brand; early mass-market snowboards e.g. Gourou 165 (1989/90) drilled for hard boots.,https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
elan,Elan,,,active,Rudi Finzgar,Slovenia,Begunje na Gorenjskem,KJK Sports / Skimar,verified,"Ski maker; snowboards from 1987 (Whoopee Board 1988/89). Ran an Austrian OEM snowboard factory (Artec sub-brand 2004); Austrian snowboard subsidiary went bankrupt 2013. | Ski manufacturer; Elan Whoopee Board (c. 1989) in Michigan Snowboard Museum; 2008-2012 boards in SnowDB. | Ski maker; Whoopee Board 1988/89 (Michigan museum), Vertigo/Element/Boulevard for 2000.",https://grokipedia.com/page/Elan_(company) | http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.snowdb.com/catalog/elan | https://www.snowboarder.com/news/snowboard-lifes-top-25-board-test-2000 | https://www.snowboarder.com/news/board-test-board-specs
endeavor,Endeavor,2002,,active,Max Jenke (with Scott Serfas),Canada,"Vancouver, British Columbia",Endeavor Design Inc.,verified,"Rider/family-owned; sister brands Airhole, Sandbox, Transform; B Corp 2022. | Rider-owned; founded by Max Jenke with partners Bruce and Scott.",https://endeavordesigninc.com/pages/endeavor-official-website | https://whitelines.com/brands/endeavor-snowboards | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.shayboarder.com/2008/08/industry-profile-endeavor-snowboards-founder-max-jenke.html
energy,Energy,,,defunct,,France,,,likely,,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
eskimo,Eskimo,,,defunct,,Germany,Munich,,likely,Late 1980s.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
exegi,Exegi,,,active,,Canada,,,likely,,https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
extrem,Extrem,1993,2008,defunct,,Sweden,,,likely,"Snowboards from 1981 origins; brand 1993; snowboards until ~2008, now skis only. Current status not verified.",http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html | https://www.snowdb.com/
f2,F2,1979,,active,Peter Brockhaus,Germany,"Hof, Bavaria (snowboards historically Austria)",F2 Fun & Function GmbH (Bernd Flugel),verified,"'Fun & Function' windsurf company (1979); became a leading race/hardboot snowboard maker (Silberpfeil, Speedster); freestyle division FTWO. Ownership: Brockhaus -> KJ Jacobs/Boards & More 2000 -> F2 International GmbH 2007 -> Bernd Flugel 2009 -> F2 Fun & Function GmbH 2015. Museum lists first snowboards 1988 Austrian-made. | Michigan Snowboard Museum reference list: 'F2 (Fun & Function) 1988, Austrian made'. No model rows captured.",https://de.wikipedia.org/wiki/F2_(Marke) | https://www.f2boards.com/history | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://gdharries.com/journal/twenty-eight-years-of-snowboards | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
fanatic,Fanatic,1981,,defunct,Udo Schutz,Germany,near Frankfurt,Mistral group (from end 1999),likely,Windsurf brand with a snowboard line (Michigan museum dates snowboards 1989); sold to Mistral group end 1999 including snowboard brands. Snowboards no longer made. | Windsurf brand; snowboards in TWS Oct 1989 guide (Ultra series).,https://www.windsurf.co.uk/fanatic-40-winning-history/ | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://archive.org/details/tws-89-93
field-earth,Field Earth,,,active,,Japan,Hokkaido,,likely,'4D design' powder boards.,https://snowexplorers.com/article/japan-specific-snow-brands/
fjell,Fjell,,,active,,Norway,,,likely,Minimalist Scandinavian shapes.,https://www.fieldmag.com/articles/most-influential-international-snowboard-brands
flite,Flite,,1992,defunct,Steve Derrah,USA,"Newport, Rhode Island (later Fall River MA, then Seattle)",,verified,"Derrah started with skateboards 1974 and prototyped snurfer-style decks by 1975; snowboards early 1980s (VTSSM says 1982). Introduced Hy-Bak binding (Jeff Grell). Ceased 1992. Founding year of the snowboard brand not firmly documented. | ISM 1988 address 58 Kingston Avenue, Newport, RI. Snowboarder timeline notes Flite boards with highback bindings in 1983.",http://www.illicitsnowboarding.com/2012/03/legends-of-fallen-vintage-snowboard.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.vtssm.org/snowboarding | https://360guide.info/snowboarding/snowboard-history.html | https://archive.org/details/ISM-87-91 | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s
flow,Flow,1996,,active,Neil Pryde and Reinhardt Hansen,USA,,Nidecker Group (2016),verified,Speed-entry binding pioneer that expanded to boards and boots; merged with Nidecker bindings 2024. | Best known for rear-entry bindings (Whitelines); board line 2008-2012 in SnowDB. Parent company not confirmed from sources consulted.,https://whitelines.com/brands/flow | https://grokipedia.com/page/Nidecker | https://www.absolute-snow.com/articles/40-years-of-nidecker-snowboards | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.snowdb.com/catalog/flow
forum,Forum,1996,2014,revived,Peter Line (with Four Star Distribution),USA,"Irvine, California",Reeflection Brands (2022 relaunch); Burton 2004-2014,verified,"The 'Forum 8' team; Burton bought Four Star's The Program brands 2004; production ceased 2012, closed 2014. Relaunched 2022 by Peter Line, Jeremy Jones and Mike MacIntyre. | Famous for the 'Forum 8' team (JP Walker, Jeremy Jones, Joni Malmi, Wille Yli-Luoma, Bjorn Leines, Devun Walsh, Chris Dufficy, Peter Line). Bought by Burton 2004; production ceased 2012, closed 2014; relaunched Oct 2022 by Peter Line, Jeremy Jones and Mike MacIntyre, boards built at Capita's Mothership.",https://www.the-house.com/portal/forum-company-history/ | https://whitelines.com/brands/forum | https://snowbrains.com/forum-forever-forum-snowboards-is-back-again-but-for-real-this-time/ | https://whitelines.com/archive/news/burton-snowboards-to-drop-forum-and-make-other-big-changes.html
foursquare,Foursquare,,2014,defunct,,USA,"Irvine, California",Burton (2004-2014); Four Star Distribution before,likely,Forum sibling (outerwear); dropped by Burton winter 2014.,https://whitelines.com/archive/news/burton-snowboards-to-drop-forum-and-make-other-big-changes.html | https://www.the-house.com/portal/forum-company-history/
franco-snowshapes,Franco Snowshapes,2009,,active,Mikey Franco,USA,"Victor, Idaho (showroom Teton Village, Wyoming)",,likely,"Fully custom boards inspired by Taro Tamai. | Custom shaper; factory opened June 2020 in Victor, ID; showroom Teton Village, WY. No fixed model catalog sourced.",https://francosnowshapes.com/ | https://www.francosnowshapes.com/
freeway,Freeway,,,defunct,,Germany,,,likely,1980s West German.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
frople,Frople,1989,2009,defunct,,Czech Republic,,,likely,,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
funky,Funky,,,defunct,,USA,New Hampshire,,likely,Neon-era brand (Pro SE 1988); Todd Richards rode for them. Museum neon page calls it European.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.snowboarder.com/news/the-forgotten-snowboard-brands
gentemstick,Gentemstick,1998,,active,Taro Tamai (with two partners),Japan,"Niseko, Hokkaido",,verified,"Snowsurf pioneer; TT model 1989 preceded the company; Mantaray, Hornet. | Snowsurf brand; Niseko showroom. Founding details not on fetched pages.",https://www.niseko.ne.jp/en/news/niseko-snowboard-icon-gentemstick-celebrates-20-years/ | https://www.boardsportsource.com/brand-profile-gentemstick-bringing-a-more-natural-surf-inspired-approach-back-to-snowboarding/ | https://www.fieldmag.com/articles/most-influential-international-snowboard-brands | https://gentemstick.com/en/collections/snowboards | https://gentemstick.com/en/pages/philosophy
glissade,Glissade,,,dormant,Greg Pronko,USA,,,likely,High-end boards and materials R&D; profiled as a survivor in 1999. Current status not verified.,https://jeffharbaugh.com/hey-how-come-youre-still-around-conversations-with-survivors/
gnu,GNU,1977,,active,Mike Olson (with Pete Saari),USA,"Sequim, Washington",Mervin Manufacturing (Altamont Capital; formerly Quiksilver 1997-2013),verified,"Mike Olson built his first board in 1977; Olson and Saari started the company after leaving college in 1984. Antigravity (1988) among first mass-produced sidecut/camber boards. Sold to Quiksilver Aug 1997 with Mervin/Lib Tech. Handbuilt at Mervin Manufacturing in Washington. | gnu.com 'About' gives 1977 (the Mervin/Mike Olson origin); Whitelines dates the Gnu brand to the 1980s (Mike Olson, Pete Saari). Handmade at Mervin in Sequim, WA. 1988 Antigravity is in the Michigan Snowboard Museum.",https://www.gnu.com/about-us | https://www.mervin.com/about/history/ | https://whitelines.com/brands/gnu-snowboards | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html
goltes,Goltes,1987,,active,,Slovenia,,,likely,Race and freeride boards; 'Domace znanje za domace boardarje'.,https://carver.si/snowboards/goltes_snowboards
gordon-smith,Gordon & Smith,,,defunct,,USA,California,,likely,"Skate company's snowboard c.1987, P-Tex top and bottom.",https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
gray,Gray,,,active,,Japan,,,likely,Free-carving and freestyle models.,https://snowexplorers.com/article/japan-specific-snow-brands/ | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
green-lab,Green Lab,,,active,,Japan,Nagano,,likely,,https://snowexplorers.com/article/japan-specific-snow-brands/
gromel,Gromel,1988,1993,defunct,Aleksey Ostatnigrosh,Russia,,,likely,Only brand actually building boards in Russia; founder later built custom boards from Ohio.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
hackboards,Hackboards,2002,,active,,Czech Republic,,,likely,Runs its own snowpark.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
hammarplast-ski-board,Hammarplast Ski-Board,1977,,defunct,Arne Darnell (designer),Sweden,,Hammarplast,likely,"Swedish household plastics company's snurfer-type board; sold ~70,000 in first year. Listed as 'Snowplast Hammerplast' on the Michigan museum list.",http://www.illicitsnowboarding.com/2013/04/legends-of-fallen-ii-stickers-of-lost.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
hammer,Hammer,,,defunct,,France,,Grand Chavin (with Hot); merged with A Snowboards 1997,likely,Listed on SnowDB.,https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowdb.com/
hayes-brothers,Hayes Brothers,1997,,dormant,,USA,"Londonderry, Vermont",,likely,Current status not verified.,https://www.vtssm.org/snowboarding
head,Head,,,active,Howard Head,Austria,"Kennelbach (founded Baltimore, USA)",Head NV (Johan Eliasch),verified,"Ski/tennis group; snowboard line grew from the fusion of small brand Blax with Head. Whitelines A-Z dates the snowboard entry to 2000. | Whitelines: Head snowboard division started 2000/2001 (Klaus Thurner, Charly Messmer). 2008-2012 boards in SnowDB.",https://grokipedia.com/page/Head_(company) | https://whitelines.com/brands/head | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.snowdb.com/catalog/head
