brand,model,first_year,source
Arbor,Crossbow,2004,catalog:arbor--crossbow
Arbor,Crosscut Camber,2020,catalog:arbor--crosscut-camber
Arbor,Danny Kass Park Pro,2027,catalog:arbor--danny-kass-park-pro
Arbor,Del Rey,2009,catalog:arbor--del-rey
Arbor,Directionals,1998,catalog:arbor--directionals
Arbor,Draft,2004,catalog:arbor--draft
Arbor,Eden,2009,catalog:arbor--eden
Arbor,El Camino,2027,catalog:arbor--el-camino
Arbor,Element,2020,seed:linestry-research-2026-06
Arbor,Element Alt,2007,catalog:arbor--element-alt
Arbor,Element Black,2018,catalog:arbor--element-black
Arbor,Element CX,2011,catalog:arbor--element-cx
Arbor,Element RX,2011,catalog:arbor--element-rx
Arbor,Ethos,2014,catalog:arbor--ethos
Arbor,Formula,2004,catalog:arbor--formula
Arbor,Foundation,2016,catalog:arbor--foundation
Arbor,Free Ride,1997,catalog:arbor--free-ride
Arbor,Free Style,1997,catalog:arbor--free-style
Arbor,GPS,2025,catalog:arbor--gps
Arbor,Helix,2017,catalog:arbor--helix
Arbor,Heritage,2001,catalog:arbor--heritage
Arbor,Heritage Freeride,2000,catalog:arbor--heritage-freeride
Arbor,Kuro Neko,2027,catalog:arbor--kuro-neko
Arbor,Landmark Splitboard,2023,catalog:arbor--landmark-splitboard
Arbor,Madre,2027,catalog:arbor--madre
Arbor,Mantra,2027,catalog:arbor--mantra
Arbor,Metal Machine,2027,catalog:arbor--metal-machine
Arbor,Mickey Muñoz Freecarve,1999,catalog:arbor--mickey-munoz-freecarve
Arbor,Mickey Muñoz Freeride,1999,catalog:arbor--mickey-munoz-freeride
Arbor,Mickey Muñoz Signature,2001,catalog:arbor--mickey-munoz-signature
Arbor,Mystic,2003,catalog:arbor--mystic
Arbor,Nightrain,2010,catalog:arbor--nightrain
Arbor,Padre,2027,catalog:arbor--padre
Arbor,Poparazzi,2012,catalog:arbor--poparazzi
Arbor,Progression,2002,catalog:arbor--progression
Arbor,Push,2008,catalog:arbor--push
Arbor,Rain,2026,catalog:arbor--rain
Arbor,Red Gerard AM,2027,catalog:arbor--red-gerard-am
Arbor,Red Gerard Pro,2027,catalog:arbor--red-gerard-pro
Arbor,Relapse,2012,catalog:arbor--relapse
Arbor,Rooster Fish,2027,catalog:arbor--rooster-fish
Arbor,Roundhouse,2008,catalog:arbor--roundhouse
Arbor,Roundhouse CX,2012,catalog:arbor--roundhouse-cx
Arbor,Roundhouse RX,2012,catalog:arbor--roundhouse-rx
Arbor,S Series,2003,catalog:arbor--s-series
Arbor,Satori,2023,catalog:arbor--satori
Arbor,Scion,2027,catalog:arbor--scion
Arbor,Seedling,2027,catalog:arbor--seedling
Arbor,Shiloh Camber,2020,catalog:arbor--shiloh-camber
Arbor,Shreddy Krueger,2015,catalog:arbor--shreddy-krueger
Arbor,Signature,2001,catalog:arbor--signature
Arbor,Sin Cara,2027,catalog:arbor--sin-cara
Arbor,Sin Nombre,2027,catalog:arbor--sin-nombre
Arbor,Single,2023,catalog:arbor--single
Arbor,Stance,2005,catalog:arbor--stance
Arbor,Steepwater,2014,catalog:arbor--steepwater
Arbor,Swoon,2012,catalog:arbor--swoon
Arbor,System Rental,2014,catalog:arbor--system-rental
Arbor,Terra Twin,2024,catalog:arbor--terra-twin
Arbor,Terrapin,2027,catalog:arbor--terrapin
Arbor,Terrapin PFD,2026,catalog:arbor--terrapin-pfd
Arbor,Twin Tips,1996,catalog:arbor--twin-tips
Arbor,Veda,2027,catalog:arbor--veda
Arbor,Verado,2025,catalog:arbor--verado
Arbor,Votive,2025,catalog:arbor--votive
Arbor,Wasteland,2008,catalog:arbor--wasteland
Arbor,Watchtower,2014,catalog:arbor--watchtower
Arbor,Westmark,2008,seed:linestry-research-2026-06
Arbor,Westmark Camber Frank April Edt.,2017,catalog:arbor--westmark-camber-frank-april-edt
Arbor,Whiskey,2014,catalog:arbor--whiskey
Arbor,Woodie,2001,catalog:arbor--woodie
Arbor,Woodie Freecarve,1999,catalog:arbor--woodie-freecarve
Arbor,Woodie Freeride,1999,catalog:arbor--woodie-freeride
Arbor,Woodie Freestyle,1999,catalog:arbor--woodie-freestyle
Arbor,Zygote Twin,2016,catalog:arbor--zygote-twin
Arbor Snowboards,,,
Atlantis,Ingmar Backman,1997,https://retrosnow.com/shop/atlantis/97/atlantis-ingmar-backman/
Atlantis,Nera 156,2026,catalog:atlantis--nera-156
Atlantis,Riksgränsen 149,2026,catalog:atlantis--riksgransen-149
Atlantis,Riksgränsen Jockey 153 LTD,2026,catalog:atlantis--riksgransen-jockey-153-ltd
Atlantis,Riksgränsen Rose 157 LTD,2026,catalog:atlantis--riksgransen-rose-157-ltd
Atomic,Alibi,2004,catalog:atomic--alibi
Atomic,Axum,2010,catalog:atomic--axum
Atomic,Banger,2010,catalog:atomic--banger
Atomic,Bond,2004,catalog:atomic--bond
Atomic,Don,2004,catalog:atomic--don
Atomic,Don Sr.,2004,catalog:atomic--don-sr
Atomic,Fallen Angel,2010,catalog:atomic--fallen-angel
Atomic,Hatchet,2004,catalog:atomic--hatchet
Atomic,Kumicho,2004,catalog:atomic--kumicho
Atomic,Kung Pow,2004,catalog:atomic--kung-pow
Atomic,Mighty D,2004,catalog:atomic--mighty-d
Atomic,Mini D,2004,catalog:atomic--mini-d
Atomic,Mugshot,2004,catalog:atomic--mugshot
Atomic,Pivot,2010,catalog:atomic--pivot
Atomic,Poacher,2010,catalog:atomic--poacher
Atomic,Polarity,2004,catalog:atomic--polarity
Atomic,Radon,2004,catalog:atomic--radon
Atomic,Rapture,2004,catalog:atomic--rapture
Atomic,Stasher,2011,catalog:atomic--stasher
Atomic,Terminal,2010,catalog:atomic--terminal
Atomic,Tika,2004,catalog:atomic--tika
Atomic,Triarc,2004,catalog:atomic--triarc
Atomic,Vantage,2004,catalog:atomic--vantage
Avalanche,Accel,1988,catalog:avalanche--accel
Avalanche,Damian,1990,catalog:avalanche--damian
Avalanche,Flex,1988,catalog:avalanche--flex
Avalanche,Kick,1988,catalog:avalanche--kick
Avalanche,Rat,1993,catalog:avalanche--rat
Avalanche,RFX Slalom,1985,catalog:avalanche--rfx-slalom
Avalanche,Sport,1988,catalog:avalanche--sport
Avalanche,Standard,2000,catalog:avalanche--standard
Avalanche,X-Elles,2000,catalog:avalanche--x-elles
Barfoot,161 Graphite,1987,catalog:barfoot--161-graphite
Barfoot,161 twintip,1990,
Barfoot,Barfoot Snoboards 1981,1981,
Barfoot,Estes Pro Model,1990,https://retrosnow.com/shop/barfoot/90-barfoot/barfoot-estes-pro-model-166/
Barfoot,Freakstyle,1989,catalog:barfoot--freakstyle
Barfoot,Freestyle,1981,
Barfoot,Jon Boyer,1992,catalog:barfoot--jon-boyer
Barfoot,Kloek,1983,
Barfoot,Mike Estes,1990,catalog:barfoot--mike-estes
Barfoot,Team,1991,catalog:barfoot--team
Barfoot,Twin Tip,1987,catalog:barfoot--twin-tip
Bataleon,Airobic,2009,catalog:bataleon--airobic
Bataleon,Blow,2018,catalog:bataleon--blow
Bataleon,Boss,2014,catalog:bataleon--boss
Bataleon,Camel Toe,2013,catalog:bataleon--camel-toe
Bataleon,Cameleon,2025,catalog:bataleon--cameleon
Bataleon,Carver,2017,catalog:bataleon--carver
Bataleon,Chaser,2019,catalog:bataleon--chaser
Bataleon,Cruiser,2023,catalog:bataleon--cruiser
Bataleon,Disaster,2021,seed:linestry-research-2026-06
Bataleon,Distortia,2008,catalog:bataleon--distortia
Bataleon,Enemy,2005,catalog:bataleon--enemy
Bataleon,Evil Teen,2026,catalog:bataleon--evil-teen
Bataleon,Evil Twin,2007,seed:linestry-research-2026-06
Bataleon,Evil Twin 20Y,2026,catalog:bataleon--evil-twin-20y
Bataleon,Evil Twin Asymmetrical,2015,catalog:bataleon--evil-twin-asymmetrical
Bataleon,Feelbetter,2009,catalog:bataleon--feelbetter
Bataleon,Fun.Kink,2008,catalog:bataleon--fun-kink
Bataleon,Global Warmer,2013,catalog:bataleon--global-warmer
Bataleon,Goliath,2005,seed:linestry-research-2026-06
Bataleon,Love Powder,2015,catalog:bataleon--love-powder
Bataleon,Magic Carpet,2016,catalog:bataleon--magic-carpet
Bataleon,Men's Mojo,2027,catalog:bataleon--mens-mojo
Bataleon,Minishred,2026,catalog:bataleon--minishred
Bataleon,Moodboard,2026,catalog:bataleon--moodboard
Bataleon,Omni,2010,catalog:bataleon--omni
Bataleon,Party Wave,2019,catalog:bataleon--party-wave
Bataleon,Push Up,2013,catalog:bataleon--push-up
Bataleon,Riot,2008,catalog:bataleon--riot
Bataleon,Spirit,2018,catalog:bataleon--spirit
Bataleon,Stallion,2018,catalog:bataleon--stallion
Bataleon,Stereo Team,2027,catalog:bataleon--stereo-team
Bataleon,Stuntwood Youth,2026,catalog:bataleon--stuntwood-youth
Bataleon,Surfer,2017,catalog:bataleon--surfer
Bataleon,The Hero,2005,catalog:bataleon--the-hero
Bataleon,The Jam,2008,catalog:bataleon--the-jam
Bataleon,Thunder,2021,catalog:bataleon--thunder
Bataleon,ThunderStorm,2026,catalog:bataleon--thunderstorm
Bataleon,Turbo,2025,catalog:bataleon--turbo
Bataleon,Undisputed,2006,catalog:bataleon--undisputed
Bataleon,Violenza,2007,catalog:bataleon--violenza
Bataleon,Wallie,2017,catalog:bataleon--wallie
Bataleon,Whatever,2012,catalog:bataleon--whatever
Bataleon,Whatever Rop van Mierlo,2026,catalog:bataleon--whatever-rop-van-mierlo
Bataleon Snowboards,,,
BC Stream,Hammerhead NW,2026,catalog:bc-stream--hammerhead-nw
Black Pearl,BP⇔FS Carve,2021,catalog:black-pearl--bp-fs-carve
Black Pearl,BP⇔FS grip,2021,catalog:black-pearl--bp-fs-grip
Black Pearl,BP⇔FS Smooth,2021,catalog:black-pearl--bp-fs-smooth
Black Pearl,BP2-10,2021,catalog:black-pearl--bp2-10
Black Pearl,BP3-06 medius,2021,catalog:black-pearl--bp3-06-medius
Black Pearl,BP4-04,2021,catalog:black-pearl--bp4-04
Black Pearl,Kid's BLACKPEARL,2021,catalog:black-pearl--kids-blackpearl
Black Pearl,Montem,2021,catalog:black-pearl--montem
Black Pearl,spes-06,2021,catalog:black-pearl--spes-06
Blackhole Snowboards,All Mountain Split,2026,catalog:blackhole-snowboards--all-mountain-split
Blackhole Snowboards,B1,2026,catalog:blackhole-snowboards--b1
Blackhole Snowboards,B4,2026,catalog:blackhole-snowboards--b4
Blackhole Snowboards,BSome1 (wide),2026,catalog:blackhole-snowboards--bsome1-wide
Blackhole Snowboards,Dream,2026,catalog:blackhole-snowboards--dream
Blackhole Snowboards,Dream 24,2024,catalog:blackhole-snowboards--dream-24
Blackhole Snowboards,Elk,2026,catalog:blackhole-snowboards--elk
Blackhole Snowboards,Escape 2.0,2026,catalog:blackhole-snowboards--escape-2-0
Blackhole Snowboards,Escape 24,2024,catalog:blackhole-snowboards--escape-24
Blackhole Snowboards,Escape Wide,2026,catalog:blackhole-snowboards--escape-wide
Blackhole Snowboards,Escape Wide 24,2024,catalog:blackhole-snowboards--escape-wide-24
Blackhole Snowboards,Freeride,2026,catalog:blackhole-snowboards--freeride
Blackhole Snowboards,Freeride 2.0,2026,catalog:blackhole-snowboards--freeride-2-0
Blackhole Snowboards,Ignition,2026,catalog:blackhole-snowboards--ignition
Blackhole Snowboards,Split,2026,catalog:blackhole-snowboards--split
Blackhole Snowboards,V Skate,2026,catalog:blackhole-snowboards--v-skate
Blackhole Snowboards,V Skate 24,2024,catalog:blackhole-snowboards--v-skate-24
Blackhole Snowboards,V Skate 25,2025,catalog:blackhole-snowboards--v-skate-25
Blackhole Snowboards,WR3 Limited,2026,catalog:blackhole-snowboards--wr3-limited
Borealis,Alpine Pro Splitboard,2026,catalog:borealis--alpine-pro-splitboard
Borealis,Artefact,2026,catalog:borealis--artefact
Borealis,Auriga,2026,catalog:borealis--auriga
Borealis,Auriga One,2026,catalog:borealis--auriga-one
Borealis,Drakkar,2026,catalog:borealis--drakkar
Borealis,Horizon,2025,catalog:borealis--horizon
Borealis,Koi,2026,catalog:borealis--koi
Borealis,Leviathan,2026,catalog:borealis--leviathan
Borealis,Marauder,2026,catalog:borealis--marauder
Borealis,Pilot Fish,2027,catalog:borealis--pilot-fish
Borealis,Ramen Express Splitboard,2027,catalog:borealis--ramen-express-splitboard
Borealis,Reactor,2027,catalog:borealis--reactor
Borealis,Tundra,2026,catalog:borealis--tundra
Burton,3D Daily Driver,2023,catalog:burton--3d-daily-driver
Burton,3D Deep Daze,2023,catalog:burton--3d-deep-daze
Burton,3D Double Dog,2023,catalog:burton--3d-double-dog
Burton,3D Fish Directional Flat Top,2026,catalog:burton--3d-fish-directional-flat-top
Burton,A Deck,1996,catalog:burton--a-deck
Burton,A Series,1998,catalog:burton--a-series
Burton,After School Special,2011,catalog:burton--after-school-special
Burton,Aftermath,2012,catalog:burton--aftermath
Burton,Air,1988,seed:linestry-research-2026-06
Burton,Air 1.1,1994,catalog:burton--air-1-1
Burton,Air 11,1995,catalog:burton--air-11
Burton,Air 2.8,1992,catalog:burton--air-2-8
Burton,Air 29,1995,catalog:burton--air-29
Burton,Air 3,1991,catalog:burton--air-3
Burton,Air 3.0,1993,catalog:burton--air-3-0
Burton,Air 3.1,1994,catalog:burton--air-3-1
Burton,Air 4.1,1993,catalog:burton--air-4-1
Burton,Air 40,1995,catalog:burton--air-40
Burton,Air 45,1995,catalog:burton--air-45
Burton,Air 5,1991,catalog:burton--air-5
Burton,Air 5.1,1992,catalog:burton--air-5-1
Burton,Air 5.5,1994,catalog:burton--air-5-5
Burton,Air 50,1995,catalog:burton--air-50
Burton,Air 55,1995,catalog:burton--air-55
Burton,Air 6,1991,catalog:burton--air-6
Burton,Air 6.1,1992,catalog:burton--air-6-1
Burton,Air 6.6,1994,catalog:burton--air-6-6
Burton,Air 60,1995,catalog:burton--air-60
Burton,Air 64,1995,catalog:burton--air-64
Burton,Air 7.8,1994,catalog:burton--air-7-8
Burton,Air 74,1995,catalog:burton--air-74
Burton,Alekesam,2025,catalog:burton--alekesam
Burton,Alp,1995,catalog:burton--alp
Burton,Alp 5.0,1995,catalog:burton--alp-5-0
Burton,Alp 5.7,1995,catalog:burton--alp-5-7
Burton,Alp 6.4,1995,catalog:burton--alp-6-4
Burton,Alp 7.0,1995,catalog:burton--alp-7-0
Burton,Alpha,2007,catalog:burton--alpha
Burton,Amp,1995,catalog:burton--amp
Burton,Amp 4,1995,catalog:burton--amp-4
Burton,Amp 5,1995,catalog:burton--amp-5
Burton,Amp 6,1995,catalog:burton--amp-6
Burton,Amplifier,2018,catalog:burton--amplifier
Burton,Anti-Social,2013,catalog:burton--anti-social
Burton,Antler,2013,catalog:burton--antler
Burton,Artifact,2012,catalog:burton--artifact
Burton,Asym Air,1992,catalog:burton--asym-air
Burton,Asym Air 54,1995,catalog:burton--asym-air-54
Burton,Asym Air 64,1995,catalog:burton--asym-air-64
Burton,Aura,2009,catalog:burton--aura
Burton,Backhill,1980,seed:linestry-research-2026-06
Burton,Backhill (BB1),1978,catalog:burton--backhill-bb1
Burton,Backseat Driver,2020,catalog:burton--backseat-driver
Burton,Backyard,1982,catalog:burton--backyard
Burton,Backyard (BBII),1979,catalog:burton--backyard-bbii
Burton,Balance,1996,catalog:burton--balance
Burton,Balance 52,1996,catalog:burton--balance-52
Burton,Balance 56,1997,catalog:burton--balance-56
Burton,Baron,2004,catalog:burton--baron
Burton,Barracuda,2012,catalog:burton--barracuda
Burton,BBY,2009,catalog:burton--bby
Burton,Big Air,1996,catalog:burton--big-air
Burton,Big Gulp,2021,catalog:burton--big-gulp
Burton,Blacktop,1994,catalog:burton--blacktop
Burton,Blacktop Twin,1994,https://retrosnow.com/shop/burton/burton-94/burton-blacktop-twin-153/
Burton,Blender,2009,catalog:burton--blender
Burton,Blossom,2023,catalog:burton--blossom
Burton,Blunt,2006,catalog:burton--blunt
Burton,BMC,2001,catalog:burton--bmc
Burton,Board Amazing,2011,catalog:burton--board-amazing
Burton,Board of Health,2012,catalog:burton--board-of-health
Burton,Bottom Feeder,2019,catalog:burton--bottom-feeder
Burton,Branch Manager,2017,catalog:burton--branch-manager
Burton,Brushie,1993,catalog:burton--brushie
Burton,Brushie 53,1995,catalog:burton--brushie-53
Burton,Brushie Trout,1993,https://retrosnow.com/shop/burton/burton-93/burton-brushie-trout/
Burton,Bryan Iguchi 55,1996,catalog:burton--bryan-iguchi-55
Burton,Bullet,2001,catalog:burton--bullet
Burton,Burden,2012,catalog:burton--burden
Burton,Burton Air,1991,catalog:burton--burton-air
Burton,Canyon,1999,catalog:burton--canyon
Burton,Cartographer,2023,catalog:burton--cartographer
Burton,Cascade,2001,catalog:burton--cascade
Burton,CB 40,1997,catalog:burton--cb-40
Burton,Charger,1999,catalog:burton--charger
Burton,Cheetah,2013,catalog:burton--cheetah
Burton,Chicklet,2005,catalog:burton--chicklet
Burton,Chopper,1997,catalog:burton--chopper
Burton,CK Nug,2016,catalog:burton--ck-nug
Burton,Clash,2002,catalog:burton--clash
Burton,Cloudsplitter,2014,catalog:burton--cloudsplitter
Burton,Code,2003,catalog:burton--code
Burton,Coil,2000,catalog:burton--coil
Burton,Competition Performer,1984,catalog:burton--competition-performer
Burton,Con Artist,2013,catalog:burton--con-artist
Burton,Contact,1995,catalog:burton--contact
Burton,Contact 49,1995,catalog:burton--contact-49
Burton,Contact 52,1995,catalog:burton--contact-52
Burton,Craig Kelly Air,1992,https://retrosnow.com/shop/burton/libtech-92-burton/burton-craig-kelly-air/
Burton,Craig Kelly Mystery Air,1990,catalog:burton--craig-kelly-mystery-air
Burton,Craig Kelly Pro Model,1994,https://retrosnow.com/shop/burton/burton-94/burton-craig-kelly-pro-model/
Burton,Cruise,1989,catalog:burton--cruise
Burton,Cruzer,1980,seed:linestry-research-2026-06
Burton,Custom,2018,seed:linestry-research-2026-06
Burton,Custom 20th Anniversary,2016,catalog:burton--custom-20th-anniversary
Burton,Custom Smalls,2009,catalog:burton--custom-smalls
Burton,Custom X,2004,catalog:burton--custom-x
Burton,Day Trader,2014,catalog:burton--day-trader
Burton,Deep Thinker,2018,catalog:burton--deep-thinker
Burton,Deja Vu,2011,catalog:burton--deja-vu
Burton,Descendant,2014,catalog:burton--descendant
Burton,Deuce,2009,catalog:burton--deuce
Burton,Dolphin,1996,catalog:burton--dolphin
Burton,Dolphin 44,1996,catalog:burton--dolphin-44
Burton,Dominant,2002,catalog:burton--dominant
Burton,Dominant Grom,2008,catalog:burton--dominant-grom
