model_id,brand_id,brand_name,model_name,first_year,year_basis,last_year,year_note,category,pro_rider,series_or_family,confidence,notes,sources
atomic--mighty-d,atomic,Atomic,Mighty D,2004,earliest_sourced,2010,Confirmed in SnowDB catalog archive for model years 2010-2010 (archive covers 2008-2012 only; run may extend outside that window). | Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--mini-d,atomic,Atomic,Mini D,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--mugshot,atomic,Atomic,Mugshot,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--polarity,atomic,Atomic,Polarity,2004,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window). | Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Women's. | Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--radon,atomic,Atomic,Radon,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--rapture,atomic,Atomic,Rapture,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on the Feb 2004 board page (MY2004).,https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--tika,atomic,Atomic,Tika,2004,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window). | Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Women's. | Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--triarc,atomic,Atomic,Triarc,2004,earliest_sourced,,Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--vantage,atomic,Atomic,Vantage,2004,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window). | Listed on brand site (Wayback) for MY2004; may predate,unknown,,,verified,Listed on both the Sept 2003 and Feb 2004 board pages (MY2004).,https://www.snowdb.com/catalog/atomic | https://web.archive.org/web/20030925214647/http://www.atomicsnowboarding.com/product.boards.php | https://web.archive.org/web/20040207030807/http://www.atomicsnowboarding.com/product.boards.php
atomic--axum,atomic,Atomic,Axum,2010,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/atomic
atomic--banger,atomic,Atomic,Banger,2010,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/atomic
atomic--fallen-angel,atomic,Atomic,Fallen Angel,2010,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,Women's.,https://www.snowdb.com/catalog/atomic
atomic--pivot,atomic,Atomic,Pivot,2010,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,Pivot Jr. also.,https://www.snowdb.com/catalog/atomic
atomic--poacher,atomic,Atomic,Poacher,2010,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,Poacher Premium RENU 2011.,https://www.snowdb.com/catalog/atomic
atomic--terminal,atomic,Atomic,Terminal,2010,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2010-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/atomic
atomic--stasher,atomic,Atomic,Stasher,2011,earliest_sourced,2012,Confirmed in SnowDB catalog archive for model years 2011-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,likely,,https://www.snowdb.com/catalog/atomic
avalanche--rfx-slalom,avalanche,Avalanche,RFX Slalom,1985,introduced,1987,,alpine,,,verified,"Square tail with slight tail-kick, quick-release plates, $399.95 (ISM 1987). Michigan museum: Slalom RFX Reflex 1985.",https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://archive.org/details/ISM-87-91
avalanche--accel,avalanche,Avalanche,Accel,1988,introduced,1989,,alpine,,,verified,"Accel 180 made in Austria, high-speed board for larger riders.",https://archive.org/details/ISM-87-91 | https://retrosnow.com/shop/avalanche/avalanche-88/avalanche-accel-180/
avalanche--flex,avalanche,Avalanche,Flex,1988,introduced,1988,ISM buyer's guide (issue for the following winter season).,all-mountain,,,likely,"Flex 160, Austria-made, $389.95.",https://archive.org/details/ISM-87-91
avalanche--kick,avalanche,Avalanche,Kick,1988,introduced,1990,,freestyle,,,verified,Kick 165 Damian pipe board (ISM 1989); Kick Freestyle 165 (1988) and Kick 165 (1990) at Retro Snow.,https://archive.org/details/ISM-87-91 | https://retrosnow.com/shop/avalanche/avalanche-88/avalanche-kick-freestyle-165/ | https://retrosnow.com/shop/avalanche/90-avalanche/avalanche-kick-165/
avalanche--sport,avalanche,Avalanche,Sport,1988,introduced,1988,ISM buyer's guide (issue for the following winter season).,kids,,,likely,"Sport-Mini 140 / Sport 150 for smaller riders, $289.95.",https://archive.org/details/ISM-87-91
avalanche--damian,avalanche,Avalanche,Damian,1990,introduced,1993,,freestyle,Damian Sanders,,verified,Damian 175 (ISM 1990); Damian Dagger 175 (TWS Oct 1992).,https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93
avalanche--rat,avalanche,Avalanche,Rat,1993,introduced,1993,TWS buyer's guide issue dated Oct of the prior calendar year (Oct 1989 issue = model year 1990).,freestyle,,,likely,Rat 167 (TWS Oct 1992).,https://archive.org/details/tws-89-93
avalanche--standard,avalanche,Avalanche,Standard,2000,introduced,2000,,kids,,,likely,"Kids board, 2000 board test specs.",https://www.snowboarder.com/news/board-test-board-specs
avalanche--x-elles,avalanche,Avalanche,X-Elles,2000,introduced,2000,,freestyle,,,likely,"Women's board, 2000 board test specs.",https://www.snowboarder.com/news/board-test-board-specs
barfoot--freestyle,barfoot,Barfoot,Freestyle,1986,introduced,1988,,freestyle,,,verified,Freestyle 141/151/161 all-terrain board (ISM 1988); Retro Snow has a 1986 wooden 'Freestyle Woody'.,https://archive.org/details/ISM-87-91 | https://retrosnow.com/shop/barfoot/barfoot-86/barfoot-freestyle-155/
barfoot--161-graphite,barfoot,Barfoot,161 Graphite,1987,introduced,1987,ISM buyer's guide (issue for the following winter season).,freeride,,,likely,"Square tail, highback bindings, $350 (ISM Jan 1987).",https://archive.org/details/ISM-87-91
barfoot--twin-tip,barfoot,Barfoot,Twin Tip,1987,introduced,1989,,freestyle,,,verified,"Twintip 161/171 (1988), 161 TwinTip Freestyle with 2/3 camber (1989). Chuck Barfoot's twin-tip freestyle shape debuted 1987.",https://archive.org/details/ISM-87-91 | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://retrosnow.com/shop/barfoot/87/barfoot-twin-tip-freestyle/
barfoot--freakstyle,barfoot,Barfoot,Freakstyle,1989,introduced,1989,Retro Snow collector catalog dates the board by two-digit year category; treated as model year.,freestyle,,,likely,Tahoe Quarterly notes the Freakstyle being re-introduced.,https://retrosnow.com/shop/barfoot/89/barfoot-freakstyle/ | https://tahoequarterly.com/ski-ride-2019/the-shape-of-snowboarding
barfoot--mike-estes,barfoot,Barfoot,Mike Estes,1990,introduced,1992,,freestyle,Mike Estes,,verified,"Estes Pro Model 166 (1990), Estes (ISM 1991), Barfoot Mike Estes (TWS Oct 1991).",https://retrosnow.com/shop/barfoot/90-barfoot/barfoot-estes-pro-model-166/ | https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93 | https://retrosnow.com/shop/barfoot/92-barfoot/barfoot-mike-estes/
barfoot--team,barfoot,Barfoot,Team,1991,introduced,1993,,freestyle,,,verified,"Team Freestyle (ISM 1991), Team Model 166 (TWS Oct 1992).",https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93
