bucket,existing_id,existing_name,existing_year,existing_source,catalog_slug,catalog_series,catalog_year,catalog_venue,catalog_confidence,note,reviewer_decision
CATALOG_ONLY,,,,,winter-x-games--1997,Winter X Games (Aspen),1997,Snow Summit,likely,import,
CATALOG_ONLY,,,,,world-ski-snowboard-festival--1997,World Ski & Snowboard Festival,1997,"Whistler Village, Whistler Mountain and Blackcomb Mountain",verified,import,
CATALOG_ONLY,,,,,air-and-style--1998,Air + Style,1998,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1998,Burton US Open Snowboarding Championships,1998,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--1998,FIS Snowboard Junior World Championships,1998,Chamrousse,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--1998,FIS Snowboard World Cup,1998,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--1998,Mt. Baker Legendary Banked Slalom,1998,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,olympic-snowboarding--1998,Snowboarding at the Olympic Winter Games,1998,"Mt. Yakebitai, Shiga Kogen (giant slalom) / Kanbayashi Sports Park (halfpipe)",verified,import,
CATALOG_ONLY,,,,,toyota-big-air--1998,Toyota Big Air,1998,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--1998,Winter X Games (Aspen),1998,Crested Butte Mountain Resort,likely,import,
CATALOG_ONLY,,,,,air-and-style--1999,Air + Style,1999,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,burton-european-open--1999,Burton European Open,1999,Axamer Lizum / Seegrube,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--1999,Burton US Open Snowboarding Championships,1999,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--1999,FIS Snowboard Junior World Championships,1999,Seiser Alm,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--1999,FIS Snowboard World Championships,1999,Berchtesgaden,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--1999,FIS Snowboard World Cup,1999,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--1999,The Arctic Challenge,1999,Trysil and Lofoten,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--1999,Toyota Big Air,1999,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--1999,Winter X Games (Aspen),1999,Crested Butte Mountain Resort,likely,import,
CATALOG_ONLY,,,,,air-and-style--2000,Air + Style,2000,Seefeld,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2000,Burton US Open Snowboarding Championships,2000,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2000,FIS Snowboard Junior World Championships,2000,Berchtesgaden,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2000,FIS Snowboard World Cup,2000,,verified,import,
CATALOG_ONLY,,,,,isf-world-snowboarding-championships--2000,ISF World Snowboarding Championships,2000,"Jakobshorn, Davos",verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2000,Mt. Baker Legendary Banked Slalom,2000,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2000,The Arctic Challenge,2000,Lofoten,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2000,Toyota Big Air,2000,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,vans-triple-crown-of-snowboarding--2000,Vans Triple Crown of Snowboarding,2000,,verified,import,
CATALOG_ONLY,,,,,westbeach-classic--2000,WestBeach Classic,2000,Whistler Blackcomb,likely,import,
CATALOG_ONLY,,,,,gravity-games-winter--2000,Winter Gravity Games,2000,Mammoth Mountain,likely,import,
CATALOG_ONLY,,,,,winter-x-games--2000,Winter X Games (Aspen),2000,Mount Snow,likely,import,
CATALOG_ONLY,,,,,air-and-style--2001,Air + Style,2001,Seefeld,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2001,Burton European Open,2001,Fieberbrunn,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2001,Burton US Open Snowboarding Championships,2001,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2001,Canadian National Snowboard Championships,2001,Big White Ski Resort,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2001,FIS Snowboard Junior World Championships,2001,Nassfeld-Hermagor,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2001,FIS Snowboard World Championships,2001,Madonna di Campiglio,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2001,FIS Snowboard World Cup,2001,,verified,import,
CATALOG_ONLY,,,,,whistler-blackcomb-fis-snowboard-world-cup--2001,FIS Snowboard World Cup - Whistler Blackcomb,2001,Whistler Blackcomb,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2001,Mt. Baker Legendary Banked Slalom,2001,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2001-a,Nissan X-Trail Jam,2001,Tokyo Dome,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2001-b,Nissan X-Trail Jam,2001,Tokyo Dome,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2001,The Arctic Challenge,2001,Hemsedal and Holmenkollen,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2001,Toyota Big Air,2001,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,westbeach-classic--2001,WestBeach Classic,2001,Whistler,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2001,Winter X Games (Aspen),2001,Mount Snow,likely,import,
CATALOG_ONLY,,,,,world-snowboarding-championship-whistler--2001,World Snowboarding Championship (Whistler),2001,Whistler Blackcomb,verified,import,
CATALOG_ONLY,,,,,air-and-style--2002,Air + Style,2002,Seefeld,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2002,Burton European Open,2002,Livigno,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2002,Burton US Open Snowboarding Championships,2002,Stratton Mountain,verified,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2002,Canadian National Snowboard Championships,2002,Mont Tremblant,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2002,FIS Snowboard Junior World Championships,2002,"Ounasvaara, Rovaniemi",verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2002,FIS Snowboard World Cup,2002,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2002,Mt. Baker Legendary Banked Slalom,2002,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2002,Nissan X-Trail Jam,2002,Tokyo Dome,likely,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2002,Shakedown,2002,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,olympic-snowboarding--2002,Snowboarding at the Olympic Winter Games,2002,Park City Mountain Resort,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2002,The Arctic Challenge,2002,,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2002,Toyota Big Air,2002,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2002,Winter X Games (Aspen),2002,Buttermilk Mountain,likely,import,
CATALOG_ONLY,,,,,air-and-style--2003,Air + Style,2003,Seefeld,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2003,Burton European Open,2003,Livigno,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2003,Burton US Open Snowboarding Championships,2003,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2003,Canadian National Snowboard Championships,2003,Nakiska and Canada Olympic Park,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2003,FIS Snowboard Junior World Championships,2003,Prato Nevoso,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2003,FIS Snowboard World Championships,2003,Kreischberg,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2003,FIS Snowboard World Cup,2003,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2003,Mt. Baker Legendary Banked Slalom,2003,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2003,Nissan X-Trail Jam,2003,Tokyo Dome,likely,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2003,Shakedown,2003,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2003,TTR World Snowboard Tour,2003,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2003,The Arctic Challenge,2003,Trysil,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2003,Toyota Big Air,2003,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2003,Winter X Games (Aspen),2003,Buttermilk Mountain,likely,import,
CATALOG_ONLY,,,,,air-and-style--2004,Air + Style,2004,Seefeld,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2004,Burton European Open,2004,Livigno,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2004,Burton US Open Snowboarding Championships,2004,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2004,Canadian National Snowboard Championships,2004,Quebec,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2004,FIS Snowboard Junior World Championships,2004,Klinovec (CZE) and Oberwiesenthal (GER),verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2004,FIS Snowboard World Cup,2004,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2004,Mt. Baker Legendary Banked Slalom,2004,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2004,Nissan X-Trail Jam,2004,Tokyo Dome,likely,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2004,Shakedown,2004,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2004,TTR World Snowboard Tour,2004,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2004,The Arctic Challenge,2004,Tromsø,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2004,Toyota Big Air,2004,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2004,Winter X Games (Aspen),2004,Buttermilk Mountain,likely,import,
CATALOG_ONLY,,,,,freestyle-ch--2004,freestyle.ch,2004,Landiwiese,likely,import,
CATALOG_ONLY,,,,,air-and-style--2005,Air + Style,2005,Olympiastadion,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2005,Burton European Open,2005,Laax,likely,import,
CATALOG_ONLY,,,,,burton-new-zealand-open--2005,Burton New Zealand Open,2005,Cardrona Alpine Resort,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2005,Burton US Open Snowboarding Championships,2005,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2005,Canadian National Snowboard Championships,2005,Big White Ski Resort,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2005,FIS Snowboard Junior World Championships,2005,Zermatt,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2005,FIS Snowboard World Championships,2005,Whistler,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2005,FIS Snowboard World Cup,2005,,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2005,Nissan X-Trail Jam,2005,Tokyo Dome,likely,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2005,Shakedown,2005,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2005,TTR World Snowboard Tour,2005,,likely,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2005,The Arctic Challenge,2005,"Tromsø, Finnsnes and Stamsund",verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2005,Toyota Big Air,2005,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2005,Winter X Games (Aspen),2005,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,air-and-style--2006,Air + Style,2006,Olympiastadion,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2006,Burton European Open,2006,Laax,likely,import,
CATALOG_ONLY,,,,,burton-new-zealand-open--2006,Burton New Zealand Open,2006,Snow Park NZ,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2006,Burton US Open Snowboarding Championships,2006,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2006,FIS Snowboard Junior World Championships,2006,Vivaldi Park,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2006,FIS Snowboard World Cup,2006,,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2006,Nissan X-Trail Jam,2006,Tokyo Dome,likely,import,
CATALOG_ONLY,,,,,oneill-evolution--2006,O'Neill Evolution,2006,Davos,likely,import,
CATALOG_ONLY,,,,,roxy-chicken-jam--2006,Roxy Chicken Jam,2006,Kaprun,likely,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2006,Shakedown,2006,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,olympic-snowboarding--2006,Snowboarding at the Olympic Winter Games,2006,Bardonecchia,verified,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2006,TTR World Snowboard Tour,2006,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2006,The Arctic Challenge,2006,Oslo,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2006,Toyota Big Air,2006,Makomanai Open Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2006,Winter X Games (Aspen),2006,Buttermilk Mountain,likely,import,
CATALOG_ONLY,,,,,air-and-style--2007,Air + Style,2007,Olympiastadion,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2007,Burton European Open,2007,Laax,verified,import,
CATALOG_ONLY,,,,,burton-new-zealand-open--2007,Burton New Zealand Open,2007,Snow Park NZ,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2007,Burton US Open Snowboarding Championships,2007,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,dirksen-derby--2007,Dirksen Derby,2007,Mt. Bachelor,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2007,FIS Snowboard Junior World Championships,2007,Bad Gastein,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2007,FIS Snowboard World Championships,2007,Arosa,verified,import,
