id,external_ref,name,series_id,year,start_date,end_date,event_type,description,community_status,catalog_status,catalog_status_note,date_precision,venue_name,city,country,disciplines,sources,confidence
audi-nines--2019,audi-nines--2019,Audi Nines 2019,audi-nines,2019,2019,,contest,,unverified,held,,year,Soelden / Obergurgl,"Oetztal, Tirol",Austria,"{""hip"",""big-air"",""other""}","{""https://www.downdays.eu/articles/audi-nines-retrospective/""}",likely
audi-snowboard-series--2013,audi-snowboard-series--2013,Audi Snowboard Series 2013/14,audi-snowboard-series,2013,2013,,contest,"More than 30 events across Switzerland in freestyle, boardercross and race. Named stops include a 3-Star World Snowboard Tour contest at Laax and European Cups at Davos, Lenzerheide and Lenk; the Swiss Championships in all three disciplines close the season, with the freestyle championships at Corvatsch on 11-12 April 2014.",verified,held,,year,,,Switzerland,"{""slopestyle"",""halfpipe"",""boardercross"",""other""}","{""https://www.worldsnowboardfederation.org/audi-snowboard-series/""}",verified
b4bc-snowboard-and-music-festival--1996,b4bc-snowboard-and-music-festival--1996,1st B4BC Snowboard + Music Festival,b4bc-snowboard-and-music-festival,1996,1996-04,1996-04,contest,"Inaugural festival, April 1996. Venue not stated in the source found.",unverified,held,,month,,,USA,{},"{""https://b4bc.org/about/""}",likely
bomb-hole-cup--2026,bomb-hole-cup--2026,5th Annual Bomb Hole Cup,bomb-hole-cup,2026,2026,,contest,"Day one banked slalom, day two open-jam park showdown. Held in April 2026; exact dates not stated on the resort page, which announces April 3-4, 2027 for the next edition.",unverified,held,,year,Brighton Resort,"Brighton, Utah",USA,"{""banked-slalom"",""jib""}","{""https://www.brightonresort.com/events/the-bomb-hole-cup"",""https://www.snowboard.international/features/north-america-snowboard-events-2025-26/""}",likely
burton-canadian-open--2009,burton-canadian-open--2009,2009 Burton Canadian Open,burton-canadian-open,2009,2009,,contest,"Rated Swatch TTR 5Star. Mikkel Bang and Silvia Mittermueller won the slopestyle, reported by Onboard on 2009-02-09. Unresolved: the 2008/09 Burton Global Open Series calendar announced the Burton Canadian Open for 2008-12-01 to 2008-12-07 at the same venue, so either the edition moved to February 2009 or there were two runnings. Only one edition row is recorded here.",unverified,held,,year,Canada Olympic Park,Calgary,Canada,"{""slopestyle""}","{""https://onboardmag.com/news/snowboarding-events/burton-canadian-open-slopestyle.html"",""https://whitelines.com/archive/news/burton-global-open-series-08-09.html""}",likely
burton-european-open--1999,burton-european-open--1999,1999 Burton European Open,burton-european-open,1999,1999,,contest,"Reported as the first Burton European Open, with the halfpipe at Axamer Lizum and the slopestyle at Seegrube in the Innsbruck area. Natasza Zurek won the halfpipe. Note that later edition numbering used by the organisers and the World Snowboard Federation (2011 = 12th annual, 2012 = 13th annual) counts the first edition as 2000, so the year of this first edition is disputed.",unverified,held,,year,Axamer Lizum / Seegrube,Innsbruck,Austria,"{""halfpipe"",""slopestyle""}","{""https://www.burton.com/blogs/the-burton-blog/10-years-laax-open/"",""https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html""}",likely
burton-european-open--2001,burton-european-open--2001,2001 Burton European Open,burton-european-open,2001,2001,,contest,The only year alpine snowboarders competed alongside the freestyle disciplines.,unverified,held,,year,Fieberbrunn,Fieberbrunn,Austria,"{""halfpipe"",""slopestyle""}","{""https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html"",""https://coolerlifestyle.com/news/events/the-burton-european-open.html"",""https://onboardmag.com/news/european-news/laax-set-to-host-laax-open-2016.html""}",likely
burton-european-open--2002,burton-european-open--2002,2002 Burton European Open,burton-european-open,2002,2002,,contest,"Cooler's 2009 retrospective places the Burton European Open at Livigno, Italy for 2002-2004. Exact dates not sourced. Natasza Zurek won the halfpipe at Livigno in 2003.",unverified,held,,year,Livigno,Livigno,Italy,"{""halfpipe"",""slopestyle""}","{""https://coolerlifestyle.com/news/events/the-burton-european-open.html"",""https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html""}",likely
burton-european-open--2014,burton-european-open--2014,2014 Burton European Open,burton-european-open,2014,2014,,contest,Presented by MINI. Halfpipe semi-finals on the LAAX superpipe 2014-01-16 with finals 2014-01-17; Iouri Podladtchikov and Ursina Haller won the halfpipe. Full event dates not sourced.,unverified,held,,year,Laax,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://www.worldsnowboardfederation.org/burton-european-open-2014-presented-by-mini/"",""https://www.worldsnowboardfederation.org/ursina-haller-and-iouri-podladtchikov-win-the-6-star-burton-european-open-halfpi/""}",likely
burton-european-open--2015,burton-european-open--2015,2015 Burton European Open,burton-european-open,2015,2015,,contest,"Final Burton European Open. First event of the WST Pro Series. Slopestyle finals 2015-02-01, won by Stale Sandbech and Christy Prior; Iouri Podladtchikov and Kelly Clark won the halfpipe. Full event dates not sourced.",unverified,held,,year,Laax,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://www.worldsnowboardfederation.org/stale-sandbech-christy-prior-win-slopestyle-finals-burton-european-open/"",""https://whitelines.com/events/burton-european-open""}",likely
burton-new-zealand-open--2005,burton-new-zealand-open--2005,2005 Burton New Zealand Open,burton-new-zealand-open,2005,2005,,contest,Listed in the Scoop press-release archive; exact dates and disciplines not sourced.,unverified,held,,year,Cardrona Alpine Resort,Wanaka,New Zealand,{},"{""https://info.scoop.co.nz/Burton_NZ_Open""}",likely
burton-new-zealand-open--2007,burton-new-zealand-open--2007,5th Burton New Zealand Open (2007),burton-new-zealand-open,2007,2007-08,,contest,"Reported as the fifth annual edition, which puts the first edition in 2003. Competition ran from 2007-08-07; the closing date was not sourced.",unverified,held,,month,Snow Park NZ,Wanaka,New Zealand,{},"{""https://info.scoop.co.nz/Burton_NZ_Open""}",likely
canada-winter-games-snowboarding--2007,canada-winter-games-snowboarding--2007,Snowboarding at the 2007 Canada Winter Games,canada-winter-games-snowboarding,2007,2007,,contest,Games ran 23 February to 10 March 2007; snowboarding shared Mt Sima with alpine and freestyle skiing. First Canada Games held north of 60. Snowboard competition dates and disciplines not sourced.,unverified,held,,year,Mt Sima,Whitehorse,Canada,{},"{""https://en.wikipedia.org/wiki/2007_Canada_Winter_Games""}",likely
canada-winter-games-snowboarding--2015,canada-winter-games-snowboarding--2015,Snowboarding at the 2015 Canada Winter Games,canada-winter-games-snowboarding,2015,2015,,contest,"Games ran 12 February to 1 March 2015 in Prince George, BC, with snowboarding on the sport programme. Snowboard venue, dates and disciplines not sourced.",unverified,held,,year,,Prince George,Canada,{},"{""https://en.wikipedia.org/wiki/2015_Canada_Winter_Games""}",likely
canada-winter-games-snowboarding--2019,canada-winter-games-snowboarding--2019,Snowboarding at the 2019 Canada Winter Games,canada-winter-games-snowboarding,2019,2019,,contest,Games ran 15 February to 3 March 2019. Snowboarding split between Canyon Ski Resort and WinSport's Canada Olympic Park near Calgary. Snowboard competition dates and disciplines not sourced.,unverified,held,,year,Canyon Ski Resort and WinSport Canada Olympic Park,Red Deer,Canada,{},"{""https://en.wikipedia.org/wiki/2019_Canada_Winter_Games""}",likely
canada-winter-games-snowboarding--2023,canada-winter-games-snowboarding--2023,Snowboarding at the 2023 Canada Winter Games,canada-winter-games-snowboarding,2023,2023,,contest,Games ran 18 February to 5 March 2023 in Prince Edward Island. Snowboarding shared the Brookvale venue with biathlon and cross-country skiing. Snowboard competition dates and disciplines not sourced.,unverified,held,,year,Mark Arendz Provincial Ski Park,Brookvale,Canada,{},"{""https://en.wikipedia.org/wiki/2023_Canada_Winter_Games""}",likely
european-world-snowboarding-championships--1987,european-world-snowboarding-championships--1987,1987 European World Snowboarding Championships,european-world-snowboarding-championships,1987,1987-01,1987-01,contest,"Sources say only that 'Europeans host their own World Championships in January at Livigno, Italy and St. Moritz, Switzerland.' It is not clear from any source opened whether this was one championship split across two venues or two separate events. No dates, no format and no podium found.",unverified,held,,month,Livigno / St. Moritz,,multiple,{},"{""https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s"",""https://www.carvers.it/storia-inglese/"",""https://snowboarding8090.com/history/""}",likely
freestyle-ch--2004,freestyle-ch--2004,freestyle.ch 2004,freestyle-ch,2004,2004,,contest,"Admission was made payable from 2005 onward, partly in response to safety and crowd management.",unverified,held,Abandoned after the first day when the big air snow ramp collapsed. No injuries were reported.,year,Landiwiese,Zurich,Switzerland,"{""big-air""}","{""https://de.wikipedia.org/wiki/Freestyle.ch""}",likely
gravity-games-winter--2000,gravity-games-winter--2000,Winter Gravity Games I (2000),gravity-games-winter,2000,2000,,contest,"Only winter edition of the Gravity Games. Held in heavy snowfall. Snowboard superpipe, big air and boarder X plus skier X. No dates found in any source opened.",unverified,held,,year,Mammoth Mountain,"Mammoth Lakes, California",USA,"{""superpipe"",""big-air"",""boardercross""}","{""https://en.wikipedia.org/wiki/Gravity_Games""}",likely
holy-oly-revival--2007,holy-oly-revival--2007,4th Annual Holy Oly Revival,holy-oly-revival,2007,2007-02,2007-02,contest,Announced by Lib Tech on 14 February 2007 as the fourth annual Holy Oly Revival. Exact contest dates not given in the source.,unverified,held,,month,The Summit at Snoqualmie,"Snoqualmie Pass, Washington",USA,"{""quarterpipe"",""jib""}","{""https://www.lib-tech.com/blog/2007/02/14/holy-crap-it%E2%80%99s-the-fourth-annual-holy-oly-revival/""}",likely
holy-oly-revival--2010,holy-oly-revival--2010,7th Annual Holy Oly Revival,holy-oly-revival,2010,2010-02,2010-02,contest,"Covered by Snowboarder on 21 February 2010 as the 7th annual, and by the GNU and Lib Tech blogs on 24 February 2010. Exact contest dates not given in the sources.",unverified,held,,month,The Summit at Snoqualmie,"Snoqualmie Pass, Washington",USA,"{""quarterpipe"",""jib""}","{""https://www.snowboarder.com/news/7th-annual-holy-oly-the-olympic-hangover-cure"",""https://www.gnu.com/blog/2010/02/24/holy-oly-you-can%E2%80%99t-spell-olympics-without-oly/""}",likely
isf-snowboard-world-championships--1993,isf-snowboard-world-championships--1993,1993 ISF World Championships,isf-snowboard-world-championships,1993,1993,,contest,"First ISF World Championships. Snowboarder magazine's 1990s history timeline records Kevin Delaney (USA) and Michele Taggart (USA) as the combined title winners. No dates or event-by-event programme found. Terje Haakonsen is separately credited with ISF halfpipe world titles in 1993, 1995 and 1997, which suggests a biennial odd-year cycle, but no edition list has been located.",unverified,held,,year,Ischgl,Ischgl,Austria,{},"{""https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s""}",likely
isf-world-championships--1993,isf-world-championships--1993,1993 ISF Snowboard World Championships,isf-world-championships,1993,1993-01,1993-01,contest,"First ISF world championships. Snowboarder/TransWorld 1990s timeline gives January 1993 at Ischgl, Austria and says Kevin Delaney and Michele Taggart won the combined titles; carvers.it repeats the same. German Wikipedia lists slalom, combined, halfpipe and giant slalom as the 1993 disciplines. Only the combined winners are recorded; no full podium found.",unverified,held,,month,,Ischgl,Austria,"{""halfpipe"",""giant-slalom"",""slalom"",""other""}","{""https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s"",""https://www.carvers.it/storia-inglese/"",""https://de.wikipedia.org/wiki/Snowboard-Weltmeisterschaft""}",likely
isf-world-snowboarding-championships--1993,isf-world-snowboarding-championships--1993,1993 ISF World Championships,isf-world-snowboarding-championships,1993,1993,,contest,First official ISF Snowboard World Championships. Combined titles were awarded.,unverified,held,,year,Ischgl,"Ischgl, Tirol",Austria,"{""other""}","{""https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s""}",likely
jsba-all-japan-snowboard-championships--2024,jsba-all-japan-snowboard-championships--2024,42nd JSBA All Japan Snowboard Championships,jsba-all-japan-snowboard-championships,2024,2024,,contest,42nd edition; open-division champions listed on the JSBA historical champions page. Dates and venues not researched.,unverified,held,,year,,,Japan,"{""halfpipe"",""big-air"",""slopestyle"",""boardercross"",""dual-slalom"",""giant-slalom""}","{""https://www.jsba.or.jp/ajsc_site/ajsc43/champion.html""}",likely
kaunertal-opening--2015,kaunertal-opening--2015,30th Kaunertal Opening,kaunertal-opening,2015,2015,,contest,"30th anniversary edition, run over three bluebird days on the glacier at 3,000m with the park spread across four locations. Separate pro contest categories for men and women, a Legends Invitational session, the Mega Testival, a Jib'n'Skate Jam and the KTO Music Festival. The mini-ramp returned after a 15-year absence. Sources give no exact competition dates; the World Snowboard Guide page is dated 13 October 2015.",unverified,held,,year,Snowpark Kaunertal,Kaunertal,Austria,"{""jib"",""other""}","{""https://onboardmag.com/news/snowboarding-events/30th-kaunertal-opening-event-recap.html"",""https://www.worldsnowboardguide.com/news/30th-kaunertal-opening-2015.html""}",likely
king-of-the-mountain-ski-cooper--1981,king-of-the-mountain-ski-cooper--1981,1981 King of the Mountain,king-of-the-mountain-ski-cooper,1981,1981-04,1981-04,contest,"Snowboarder/TransWorld timeline: 'Modern competitive snowboarding begins with a small contest held in April at Ski Cooper in Leadville, Colorado.' Wikipedia names the event 'King of the Mountain'. No podium found in any source opened. Some accounts list a slalom and a freestyle event; not confirmed.",unverified,held,,month,Ski Cooper,Leadville,USA,"{""slalom"",""other""}","{""https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s"",""https://en.wikipedia.org/wiki/Snowboarding""}",likely
laax-open--2017,laax-open--2017,LAAX OPEN 2017,laax-open,2017,2017,,contest,Snowboard halfpipe and slopestyle. The event joined the FIS Snowboard World Cup circuit in its second year. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/"",""https://www.burton.com/blogs/the-burton-blog/10-years-laax-open/""}",likely
laax-open--2018,laax-open--2018,LAAX OPEN 2018,laax-open,2018,2018,,contest,"The LAAX Open Hall of Fame lists a snowboard halfpipe champion for 2018 but no snowboard slopestyle champion, so slopestyle appears not to have been awarded that year; the reason was not sourced. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.",unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2019,laax-open--2019,LAAX OPEN 2019,laax-open,2019,2019,,contest,Snowboard halfpipe and slopestyle. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2020,laax-open--2020,LAAX OPEN 2020,laax-open,2020,2020,,contest,Snowboard halfpipe and slopestyle. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2021,laax-open--2021,LAAX OPEN 2021,laax-open,2021,2021,,contest,Snowboard halfpipe and slopestyle. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2022,laax-open--2022,LAAX OPEN 2022,laax-open,2022,2022,,contest,Snowboard halfpipe and slopestyle. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2023,laax-open--2023,LAAX OPEN 2023,laax-open,2023,2023,,contest,Snowboard halfpipe and slopestyle. Freeski slopestyle was added to the programme from 2023. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2024,laax-open--2024,LAAX OPEN 2024,laax-open,2024,2024,,contest,Snowboard halfpipe and slopestyle. Freeski slopestyle was added to the programme from 2023. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2025,laax-open--2025,LAAX OPEN 2025,laax-open,2025,2025,,contest,Snowboard halfpipe and slopestyle. Freeski slopestyle was added to the programme from 2023. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
laax-open--2026,laax-open--2026,LAAX OPEN 2026,laax-open,2026,2026,,contest,Snowboard halfpipe and slopestyle. Freeski slopestyle was added to the programme from 2023. Confirmed held from the organiser's Hall of Fame listing; exact dates not sourced.,unverified,held,,year,LAAX,Laax,Switzerland,"{""halfpipe"",""slopestyle""}","{""https://laaxopen.com/en/hall-of-fame/""}",likely
mt-baker-legendary-banked-slalom--1985,mt-baker-legendary-banked-slalom--1985,1985 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1985,1985-01,1985-01,contest,"First edition. Sources disagree on the field size (14 riders per Wikipedia, 16 per Unofficial Networks) and on the date: Mount Baker Experience says February 1985, while Unofficial Networks says the race was deliberately scheduled for Super Bowl Sunday. Tom Sims won; Terry Kidwell 2nd, Ken Achenbach 3rd, Craig Kelly 4th per Mount Baker Experience. Course of roughly 500 feet with 15 gates.",verified,held,,month,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://www.mountbakerexperience.com/stories/30-years-of-the-legendary-banked-slalom,339"",""https://unofficialnetworks.com/2024/01/30/legendary-banked-slalom-history/"",""https://en.wikipedia.org/wiki/Mt._Baker_Legendary_Banked_Slalom"",""https://lbs.mtbaker.us/results/honor-roll/"",""https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s"",""https://snowboarding8090.com/mt-baker-lbs/"",""https://localfreshies.com/mt-baker-banked-slalom/""}",verified
mt-baker-legendary-banked-slalom--1986,mt-baker-legendary-banked-slalom--1986,1986 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1986,1986,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1987,mt-baker-legendary-banked-slalom--1987,1987 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1987,1987,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1988,mt-baker-legendary-banked-slalom--1988,1988 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1988,1988,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1989,mt-baker-legendary-banked-slalom--1989,1989 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1989,1989,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1990,mt-baker-legendary-banked-slalom--1990,1990 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1990,1990,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1991,mt-baker-legendary-banked-slalom--1991,1991 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1991,1991,,contest,"Held year inferred: the organiser's Honor Roll covers 1985-2025 and the edition numbering chain (2016 = 30th, 2023 = 35th, 2025 = 36th) requires every year from 1985-2004, 2006-2014 and 2016 to have been run. One automated read of the Honor Roll flagged 1991 as possibly having no entries; not independently confirmed.",unverified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",likely
mt-baker-legendary-banked-slalom--1992,mt-baker-legendary-banked-slalom--1992,1992 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1992,1992,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1993,mt-baker-legendary-banked-slalom--1993,1993 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1993,1993,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1994,mt-baker-legendary-banked-slalom--1994,1994 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1994,1994,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1995,mt-baker-legendary-banked-slalom--1995,1995 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1995,1995,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1996,mt-baker-legendary-banked-slalom--1996,1996 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1996,1996,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1997,mt-baker-legendary-banked-slalom--1997,1997 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1997,1997,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1998,mt-baker-legendary-banked-slalom--1998,1998 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1998,1998,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
mt-baker-legendary-banked-slalom--1999,mt-baker-legendary-banked-slalom--1999,1999 Legendary Banked Slalom,mt-baker-legendary-banked-slalom,1999,1999,,contest,,verified,held,,year,Mt. Baker Ski Area,"Deming, Washington",USA,"{""banked-slalom""}","{""https://lbs.mtbaker.us/results/honor-roll/""}",verified
